latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),cpu-freq,layer,edge-accelerator,server-accelerator
186.928416355,91.48624263457394,0.4688781326208114,76.35454462199999,99.522917,11.050954732999998,91.01736450195312,6.778214931488037,1.7000000476837158,10.696000099182127,38.4,591.021484375,600.0,3.0,off,True
185.148172224,90.65488993977576,0.4637278304007769,76.04511756800001,98.39018,10.712874655999997,90.191162109375,6.718716144561768,1.7999999523162842,10.82800006866455,38.4,591.021484375,600.0,3.0,off,True
187.084475888,90.933865041246,0.4670605368514657,75.73932894400001,98.624401,12.720745944,90.46680450439452,6.735803127288818,1.7000000476837158,10.803999900817873,38.3,591.021484375,600.0,3.0,off,True
940.057486109,90.55628685445,3.2824984023015493,831.23850937,96.105138,12.713838739000051,87.27378845214844,6.432030200958252,1.7000000476837158,9.479000091552734,25.6,591.021484375,1400.0,6.0,off,True
933.964307044,90.52961832915588,3.274598187554324,827.371259719,96.023783,10.569264325000049,87.25502014160156,6.421205997467041,1.7999999523162842,9.458000183105469,25.6,591.021484375,1400.0,6.0,off,True
934.75763559,88.35449978379782,3.277572598739231,830.516887955,93.706232,10.534515635000048,85.0769271850586,6.276394844055176,1.7000000476837158,9.687000274658203,25.6,591.021484375,1400.0,6.0,off,True
199.55387031,90.30144222859452,0.5754824507624865,38.608322886,97.916577,63.02897042400001,89.72595977783203,6.674293041229248,1.7000000476837158,10.885000228881836,38.2,591.021484375,1400.0,4.0,off,True
150.17217011000002,90.35450880823616,0.4433759957361578,38.328146389,97.948443,13.89558072100003,89.9111328125,6.676064014434815,1.7000000476837158,10.887999534606934,38.4,591.021484375,1400.0,4.0,off,True
3313.936318957,87.2440607190498,11.280208790338865,3219.173084243,84.196739,10.566495713999744,75.96385192871094,5.31871509552002,1.7000000476837158,5.938000202178955,25.2,591.021484375,1200.0,11.0,off,True
3315.652042049,85.88435961638633,11.29451586638633,3222.153823332,82.517585,10.980633716999876,74.58984375,5.235986232757568,1.7000000476837158,6.015999794006348,25.2,591.021484375,1200.0,11.0,off,True
1126.0813299289998,89.12776495829317,4.720767277629113,1007.485720138,92.90636,25.68924979099978,84.40699768066406,6.138213157653809,1.7000000476837158,8.916999816894531,25.4,591.021484375,1800.0,7.0,off,True
