timestamp,value,total_time
1700665124.021741,3.5807,16.364179476
1700665125.02652,3.2395,16.364179476
1700665126.030998,3.2551,16.364179476
1700665127.035448,3.2415,16.364179476
1700665128.040382,3.2374,16.364179476
1700665129.045685,3.0083,16.364179476
1700665130.051558,3.1722,16.364179476
1700665131.056035,3.8416,16.364179476
1700665132.0605,3.2856,16.364179476
1700665133.907301,3.3835,16.364179476
1700665134.911825,3.8126,16.364179476
1700665135.917317,3.9023,16.364179476
1700665136.922503,3.8906,16.364179476
1700665137.927089,3.9204,16.364179476
1700665138.931763,3.899,16.364179476
1700665139.936488,3.8799,16.364179476
