timestamp,value,total_time
1700664776.233497,4.0612,44.235509117
1700664777.709218,3.7237,44.235509117
1700664778.713668,4.8715,44.235509117
1700664779.718054,4.6756,44.235509117
1700664780.722395,4.8593,44.235509117
1700664781.726854,4.8232,44.235509117
1700664782.732606,4.7527,44.235509117
1700664783.737022,4.9252,44.235509117
1700664784.741459,4.856,44.235509117
1700664785.746551,4.7889,44.235509117
1700664786.793086,5.0185,44.235509117
1700664787.797583,4.7466,44.235509117
1700664788.802046,4.805,44.235509117
1700664789.806396,4.9777,44.235509117
1700664790.811853,4.6704,44.235509117
1700664791.816396,4.8096,44.235509117
1700664792.820932,4.8334,44.235509117
1700664793.826005,4.697,44.235509117
1700664794.830428,4.8601,44.235509117
1700664795.834951,4.8464,44.235509117
1700664796.839603,4.796,44.235509117
1700664797.843987,4.9039,44.235509117
1700664798.848657,4.9127,44.235509117
1700664799.908578,4.9222,44.235509117
1700664800.913146,4.6547,44.235509117
1700664801.918109,4.8298,44.235509117
1700664802.922704,4.8049,44.235509117
1700664803.927118,4.693,44.235509117
1700664804.931469,4.8627,44.235509117
1700664805.9359,4.8143,44.235509117
1700664806.940399,4.7505,44.235509117
1700664807.944888,4.9126,44.235509117
1700664808.949284,4.8616,44.235509117
1700664809.995407,4.7722,44.235509117
1700664810.999954,4.9475,44.235509117
1700664812.004492,4.9371,44.235509117
1700664813.011072,4.8056,44.235509117
1700664814.01545,4.9848,44.235509117
1700664815.019433,4.8552,44.235509117
1700664816.023336,4.8021,44.235509117
1700664817.027363,5.0551,44.235509117
1700664818.031498,4.7065,44.235509117
1700664819.035541,4.8187,44.235509117
1700664820.039417,4.9677,44.235509117
