timestamp,value,total_time
1700664599.393537,4.0541,156.553558051
1700664601.214967,4.3082,156.553558051
1700664602.220121,4.7385,156.553558051
1700664603.224567,4.5304,156.553558051
1700664604.229766,5.1384,156.553558051
1700664605.234295,4.6759,156.553558051
1700664606.23861,4.4956,156.553558051
1700664607.243814,5.1442,156.553558051
1700664608.306771,4.6867,156.553558051
1700664609.311131,4.5785,156.553558051
1700664610.316341,5.1702,156.553558051
1700664611.320756,4.6983,156.553558051
1700664612.325137,4.6278,156.553558051
1700664613.330263,5.1777,156.553558051
1700664614.334674,4.6913,156.553558051
1700664615.339027,4.7426,156.553558051
1700664616.344344,5.1339,156.553558051
1700664617.391366,4.6969,156.553558051
1700664618.395672,5.1052,156.553558051
1700664619.401191,4.9211,156.553558051
1700664620.405578,4.7127,156.553558051
1700664621.409834,5.1736,156.553558051
1700664622.415085,4.7509,156.553558051
1700664623.419409,4.6606,156.553558051
1700664624.42447,5.1878,156.553558051
1700664625.429703,4.7437,156.553558051
1700664626.434002,4.5981,156.553558051
1700664627.439273,5.1992,156.553558051
1700664628.444513,4.7275,156.553558051
1700664629.506594,4.6663,156.553558051
1700664630.511854,5.1971,156.553558051
1700664631.517168,4.7618,156.553558051
1700664632.521511,4.6235,156.553558051
1700664633.526755,5.2064,156.553558051
1700664634.531133,4.7488,156.553558051
1700664635.535516,4.5387,156.553558051
1700664636.540931,5.218,156.553558051
1700664637.545401,4.7435,156.553558051
1700664638.591271,4.7461,156.553558051
1700664639.596655,5.1735,156.553558051
1700664640.60104,4.7433,156.553558051
1700664641.605426,5.1491,156.553558051
1700664642.610662,4.977,156.553558051
1700664643.615158,4.7415,156.553558051
1700664644.619535,5.2246,156.553558051
1700664645.624878,4.8264,156.553558051
1700664646.629282,4.6929,156.553558051
1700664647.633715,5.2227,156.553558051
1700664648.63881,4.7722,156.553558051
1700664649.643146,4.6343,156.553558051
1700664650.648454,5.2235,156.553558051
1700664651.706933,4.8455,156.553558051
1700664652.711273,4.6487,156.553558051
1700664653.716568,5.2194,156.553558051
1700664654.721679,4.7723,156.553558051
1700664655.726025,4.6211,156.553558051
1700664656.731262,5.224,156.553558051
1700664657.735736,4.7756,156.553558051
1700664658.740045,4.6166,156.553558051
1700664659.745541,5.242,156.553558051
1700664660.791593,4.758,156.553558051
1700664661.79592,4.8036,156.553558051
1700664662.801307,5.2009,156.553558051
1700664663.805768,4.7655,156.553558051
1700664664.810063,5.1479,156.553558051
1700664665.815336,5.0009,156.553558051
1700664666.819789,4.7657,156.553558051
1700664667.824123,5.2316,156.553558051
1700664668.829498,4.8255,156.553558051
1700664669.833975,4.7178,156.553558051
1700664670.838319,5.2433,156.553558051
1700664671.843603,4.7932,156.553558051
1700664672.907214,4.7836,156.553558051
1700664673.911534,5.237,156.553558051
1700664674.917091,4.8805,156.553558051
1700664675.921412,4.7367,156.553558051
1700664676.927207,5.2482,156.553558051
1700664677.932496,4.8034,156.553558051
1700664678.936836,4.6849,156.553558051
1700664679.942082,5.2685,156.553558051
1700664680.946383,4.7763,156.553558051
1700664681.991821,4.61,156.553558051
1700664682.996458,5.2535,156.553558051
1700664684.000917,4.7758,156.553558051
1700664685.005285,4.8056,156.553558051
1700664686.010499,5.2035,156.553558051
1700664687.015064,4.7665,156.553558051
1700664688.019383,5.1441,156.553558051
1700664689.024888,4.9938,156.553558051
1700664690.029426,4.7768,156.553558051
1700664691.033735,5.258,156.553558051
1700664692.039166,4.8258,156.553558051
1700664693.043522,4.7045,156.553558051
1700664694.047909,5.2519,156.553558051
1700664695.107745,5.0107,156.553558051
1700664696.112153,4.7839,156.553558051
1700664697.118693,5.2671,156.553558051
1700664698.124236,4.8513,156.553558051
1700664699.128612,4.7261,156.553558051
1700664700.133037,5.2575,156.553558051
1700664701.137531,4.8141,156.553558051
1700664702.141824,4.6814,156.553558051
1700664703.146237,5.278,156.553558051
1700664704.18993,4.8075,156.553558051
1700664705.194223,4.7084,156.553558051
1700664706.198681,5.2744,156.553558051
1700664707.203014,4.7758,156.553558051
1700664708.207396,4.9372,156.553558051
1700664709.211559,5.188,156.553558051
1700664710.215473,4.7833,156.553558051
1700664711.219449,5.2478,156.553558051
1700664712.223571,4.9903,156.553558051
1700664713.227389,4.7835,156.553558051
1700664714.231455,5.2647,156.553558051
1700664715.235493,4.822,156.553558051
1700664716.23936,4.7207,156.553558051
1700664717.243678,5.2793,156.553558051
1700664718.247476,4.8312,156.553558051
1700664719.306881,4.7954,156.553558051
1700664720.311308,5.286,156.553558051
1700664721.316766,4.8389,156.553558051
1700664722.321143,4.7443,156.553558051
1700664723.326599,5.2879,156.553558051
1700664724.331776,4.8252,156.553558051
1700664725.336184,4.7029,156.553558051
1700664726.341603,5.3048,156.553558051
1700664727.346004,4.8291,156.553558051
1700664728.393676,4.6093,156.553558051
1700664729.399091,5.2945,156.553558051
1700664730.403533,4.8127,156.553558051
1700664731.407939,4.8468,156.553558051
1700664732.413415,5.2492,156.553558051
1700664733.417888,4.8056,156.553558051
1700664734.422196,5.2192,156.553558051
1700664735.426614,5.0659,156.553558051
1700664736.431103,4.8173,156.553558051
1700664737.435451,5.2946,156.553558051
1700664738.441021,4.8705,156.553558051
1700664739.44552,4.7653,156.553558051
1700664740.508771,5.0999,156.553558051
1700664741.514118,5.1375,156.553558051
1700664742.518507,4.8132,156.553558051
1700664743.523037,5.2845,156.553558051
1700664744.527451,4.9331,156.553558051
1700664745.531364,4.749,156.553558051
1700664746.535466,5.3022,156.553558051
1700664747.539471,4.8585,156.553558051
1700664748.54336,4.7218,156.553558051
1700664749.547471,5.2999,156.553558051
1700664750.592494,4.8504,156.553558051
1700664751.596873,4.6754,156.553558051
1700664752.602045,5.3188,156.553558051
1700664753.606422,4.8036,156.553558051
1700664754.610744,4.9202,156.553558051
1700664755.615929,5.2518,156.553558051
