timestamp,value,total_time
1700664309.533636,6.3492,46.854018694
1700664312.673104,5.5711,46.854018694
1700664313.677564,5.5929,46.854018694
1700664314.682024,5.7658,46.854018694
1700664315.686346,5.5187,46.854018694
1700664316.73286,5.0337,46.854018694
1700664317.737982,5.1332,46.854018694
1700664318.743142,5.0426,46.854018694
1700664319.748343,5.0639,46.854018694
1700664320.753462,5.287,46.854018694
1700664321.757817,5.5882,46.854018694
1700664322.762167,5.5008,46.854018694
1700664323.766495,5.8064,46.854018694
1700664324.770885,5.8144,46.854018694
1700664325.775256,5.5021,46.854018694
1700664326.780288,5.3512,46.854018694
1700664327.785507,5.2607,46.854018694
1700664328.847612,5.3055,46.854018694
1700664329.852681,5.2758,46.854018694
1700664330.857581,5.0565,46.854018694
1700664331.862629,5.1253,46.854018694
1700664332.867646,5.3046,46.854018694
1700664333.872151,5.0358,46.854018694
1700664334.876494,5.4992,46.854018694
1700664335.880847,5.6115,46.854018694
1700664336.885301,5.5158,46.854018694
1700664337.932284,5.502,46.854018694
1700664338.93665,5.7007,46.854018694
1700664339.941553,5.0489,46.854018694
1700664340.946619,5.0061,46.854018694
1700664341.951874,5.2718,46.854018694
1700664342.95709,5.2684,46.854018694
1700664343.96215,5.0381,46.854018694
1700664344.967056,5.0534,46.854018694
1700664345.972341,5.2386,46.854018694
1700664346.977094,5.0387,46.854018694
1700664347.982159,5.0206,46.854018694
1700664348.987234,5.2866,46.854018694
1700664350.048573,5.0184,46.854018694
1700664351.053696,5.1142,46.854018694
1700664352.058799,5.0516,46.854018694
1700664353.064028,5.0348,46.854018694
1700664354.069109,5.2755,46.854018694
1700664355.074268,5.2983,46.854018694
1700664356.079375,5.0351,46.854018694
