layer,top1,top5
0,0.65,0.83
1,0.59,0.79
2,0.56,0.78
3,0.07,0.15
4,0.64,0.8
5,0.61,0.82
6,0.0,0.02
7,0.63,0.81
8,0.64,0.83
9,0.63,0.77
10,0.61,0.83
11,0.0,0.04
12,0.0,0.04
13,0.63,0.81
14,0.63,0.82
15,0.0,0.0
16,0.62,0.81
17,0.63,0.84
18,0.62,0.81
19,0.65,0.84
20,0.64,0.83
21,0.0,0.03
22,0.0,0.03
23,0.63,0.84
24,0.64,0.84
25,0.0,0.01
26,0.63,0.83
27,0.64,0.81
28,0.65,0.82
29,0.63,0.79
30,0.64,0.8
31,0.64,0.82
32,0.13,0.39
33,0.13,0.39
34,0.65,0.82
35,0.64,0.81
36,0.0,0.01
37,0.64,0.8
38,0.65,0.82
39,0.63,0.84
40,0.65,0.83
41,0.65,0.83
42,0.65,0.83
43,0.64,0.83
44,0.28,0.52
45,0.62,0.83
46,0.64,0.84
47,0.0,0.01
48,0.64,0.83
49,0.64,0.84
50,0.64,0.84
51,0.65,0.83
52,0.65,0.82
53,0.65,0.83
54,0.53,0.7
55,0.53,0.7
56,0.64,0.83
57,0.65,0.84
58,0.01,0.02
59,0.63,0.81
60,0.64,0.84
61,0.63,0.81
62,0.63,0.84
63,0.64,0.81
64,0.65,0.84
65,0.61,0.79
66,0.61,0.8
67,0.64,0.84
68,0.0,0.01
69,0.61,0.85
70,0.65,0.82
71,0.64,0.82
72,0.64,0.83
73,0.0,0.03
74,0.63,0.8
75,0.65,0.83
