layer,img,client,server,network,total
0,0,23.669609,38.6718,27.979978,90.321387
0,1,2.441401,11.8655,9.007452,23.314353
0,2,2.482345,11.7553,8.648212,22.885857
0,3,2.990877,12.1755,7.801517,22.967894
0,4,2.277717,11.5507,8.596056,22.424473
0,5,3.273151,12.0098,7.911273,23.194224
0,6,2.822489,11.7919,8.21708,22.831469
0,7,2.986691,11.9179,7.8971,22.801691
0,8,3.130578,11.8429,8.072395,23.045873
0,9,2.467789,11.9097,8.972067,23.349556
0,10,2.961969,11.733,7.902854,22.597823
0,11,2.660954,11.9401,8.490246,23.0913
0,12,2.878582,11.8322,7.685988,22.39677
0,13,2.9311,11.7209,8.329931,22.981931
0,14,2.965581,11.9297,8.091372,22.986653
0,15,2.962432,11.9245,7.967407,22.854339
0,16,2.690805,11.8992,7.699802,22.289807
0,17,3.111357,12.3345,7.895681,23.341538
0,18,3.422113,11.694,7.807818,22.923931
0,19,2.557826,11.8197,8.434925,22.812451
0,20,2.590011,11.8058,8.523232,22.919043
0,21,2.981414,11.7808,8.00757,22.769784
0,22,3.180411,12.0663,7.871644,23.118355
0,23,2.324995,11.6978,8.685509,22.708304
0,24,3.099746,11.8506,7.83829,22.788636
0,25,3.183911,11.7019,8.14497,23.030781
0,26,2.96271,11.9975,7.872833,22.833043
0,27,2.657862,11.87,8.446458,22.97432
0,28,3.172301,12.2764,7.700487,23.149188
0,29,2.179866,12.5575,8.837225,23.574591
0,30,2.983673,11.9585,8.105405,23.047578
0,31,3.127802,11.7563,7.843221,22.727323
0,32,2.780416,11.9115,7.804834,22.49675
0,33,2.949636,12.1962,8.048648,23.194484
0,34,2.248477,12.0521,7.665864,21.966441
0,35,2.732231,11.6765,8.517199,22.92593
0,36,3.162708,11.8567,7.932967,22.952375
0,37,2.955951,11.791,7.814558,22.561509
0,38,2.803823,11.9472,7.981021,22.732044
0,39,3.199653,11.9735,7.826871,23.000024
0,40,2.384068,11.8654,8.136098,22.385566
0,41,3.044821,11.7455,8.096981,22.887302
0,42,2.71712,11.8699,8.170412,22.757432
0,43,3.078506,11.6813,7.809907,22.569713
0,44,2.935655,11.8647,7.858375,22.65873
0,45,3.018783,12.0082,7.814855,22.841838
0,46,2.972803,11.836,7.712503,22.521306
0,47,2.957951,12.901,8.284319,24.14327
0,48,3.296429,16.6076,8.578437,28.482466
0,49,3.136134,12.735,16.017426,31.88856
0,50,2.906007,11.7304,7.846973,22.48338
0,51,2.987507,11.8397,8.057614,22.884821
0,52,3.089024,12.4421,7.840395,23.371519
