layer,top1,top5
0,0.65,0.83
1,0.59,0.79
2,0.56,0.78
3,0.07,0.15
4,0.64,0.8
5,0.61,0.82
6,0.0,0.02
7,0.64,0.81
8,0.64,0.83
9,0.63,0.78
10,0.61,0.83
11,0.0,0.05
12,0.0,0.05
13,0.63,0.81
14,0.63,0.82
15,0.0,0.0
16,0.62,0.81
17,0.63,0.84
18,0.62,0.8
19,0.65,0.84
20,0.64,0.82
21,0.0,0.03
22,0.0,0.03
23,0.63,0.83
24,0.63,0.84
25,0.0,0.01
26,0.64,0.84
27,0.64,0.81
28,0.65,0.82
29,0.64,0.78
30,0.64,0.8
31,0.64,0.83
32,0.14,0.38
33,0.14,0.38
34,0.65,0.81
35,0.63,0.79
36,0.0,0.01
37,0.64,0.8
38,0.65,0.84
39,0.63,0.83
40,0.65,0.83
41,0.64,0.82
42,0.63,0.83
43,0.64,0.82
44,0.25,0.51
45,0.63,0.81
46,0.64,0.83
47,0.0,0.01
48,0.65,0.82
49,0.64,0.83
50,0.64,0.83
51,0.64,0.86
52,0.64,0.81
53,0.64,0.83
54,0.52,0.69
55,0.52,0.69
56,0.62,0.82
57,0.64,0.83
58,0.01,0.02
59,0.63,0.81
60,0.63,0.84
61,0.64,0.83
62,0.64,0.84
63,0.63,0.81
64,0.64,0.84
65,0.61,0.77
66,0.61,0.8
67,0.63,0.82
68,0.0,0.01
69,0.6,0.85
70,0.65,0.83
71,0.65,0.83
72,0.64,0.84
73,0.0,0.0
74,0.65,0.83
75,0.63,0.83
