layer,img,client,server,network,total
0,0,17.620891,32.1025,27.193587,76.916978
0,1,2.90258,12.2639,8.496847,23.663327
0,2,3.053784,11.8209,7.933321,22.808005
0,3,3.026636,11.762,8.043497,22.832133
0,4,3.095634,11.8335,7.888998,22.818132
0,5,2.909655,11.9558,7.853531,22.718986
0,6,2.364345,12.3704,8.50379,23.238535
0,7,2.838064,12.4857,8.097252,23.421016
0,8,2.685564,11.8431,7.899787,22.428451
0,9,2.899377,11.8926,7.75038,22.542357
0,10,2.722138,11.8881,8.319505,22.929743
0,11,3.349836,11.8205,7.747352,22.917688
0,12,3.304281,12.4842,7.828847,23.617328
0,13,2.898303,11.8374,7.748211,22.483914
0,14,3.090449,11.9957,8.152868,23.239017
0,15,3.16367,12.2613,7.831398,23.256368
0,16,3.161745,11.8446,8.003434,23.009779
0,17,3.075727,11.9816,7.777657,22.834984
0,18,2.867396,11.8424,8.627368,23.337164
0,19,3.198726,11.8771,7.800714,22.87654
0,20,2.691546,12.0287,8.250126,22.970372
0,21,3.103357,11.7982,7.819707,22.721264
0,22,2.955358,11.7672,8.014686,22.737244
0,23,3.162893,11.9904,7.799042,22.952335
0,24,2.739601,11.5985,7.892575,22.230676
0,25,2.558826,11.8631,8.664187,23.086113
0,26,2.950192,11.9755,7.993477,22.919169
0,27,2.764712,11.7093,7.914385,22.388397
0,28,2.95008,11.9991,7.704528,22.653708
0,29,2.568048,12.1771,8.648127,23.393275
0,30,3.298595,11.8273,7.909069,23.034964
0,31,2.881025,11.8128,7.767774,22.461599
0,32,3.2848,11.8436,7.71066,22.83906
0,33,2.554844,11.9534,8.48622,22.994464
0,34,3.119875,11.8175,7.882369,22.819744
0,35,3.134597,12.0794,7.745301,22.959298
0,36,3.065153,11.8734,8.571794,23.510347
0,37,3.31478,11.993,7.914644,23.222424
0,38,2.571585,11.7844,9.189734,23.545719
0,39,3.121505,11.8628,7.774236,22.758541
0,40,3.219226,11.8522,7.836336,22.907762
0,41,3.067968,11.7938,7.712571,22.574339
0,42,2.993802,11.6548,7.727387,22.375989
0,43,2.891303,11.8728,7.895346,22.659449
0,44,3.190282,11.925,7.887442,23.002724
0,45,2.759916,12.3139,8.128035,23.201851
0,46,2.925785,11.8719,7.838043,22.635728
0,47,2.989098,11.8189,7.660879,22.468877
0,48,3.035524,11.7582,10.545309,25.339033
0,49,3.141097,11.9077,7.887668,22.936465
0,50,3.321707,11.913,7.752999,22.987706
0,51,3.080061,11.9066,7.676511,22.663172
0,52,3.009283,11.7215,7.908481,22.639264
0,53,3.074153,13.2024,7.833029,24.109582
0,54,3.269058,25.1787,48.126223,76.573981
0,55,2.854285,11.732,7.811278,22.397563
0,56,3.338206,11.7903,7.806163,22.934669
0,57,3.081042,11.9456,8.294967,23.321609
0,58,3.05232,11.7741,7.930621,22.757041
0,59,2.151997,11.799,7.881962,21.832959
0,60,3.285928,11.889,7.813054,22.987982
0,61,2.922043,12.0068,7.984714,22.913557
0,62,3.072023,11.9243,8.285674,23.281997
0,63,3.303132,11.9677,7.780761,23.051593
0,64,3.412094,12.4664,7.850703,23.729197
0,65,2.944488,12.043,7.867015,22.854503
0,66,3.203059,11.745,7.838223,22.786282
0,67,3.106782,11.8971,7.938897,22.942779
0,68,3.393187,11.8368,7.822384,23.052371
0,69,3.116838,12.5184,7.695631,23.330869
0,70,2.932728,11.7175,8.368273,23.018501
0,71,2.876285,11.8378,12.695333,27.409418
0,72,3.165411,11.7416,11.512158,26.419169
0,73,2.841785,12.2032,12.507135,27.55212
0,74,3.438038,11.8118,10.619429,25.869267
0,75,2.57614,11.9642,8.245886,22.786226
0,76,3.198429,11.8829,12.447199,27.528528
0,77,3.260411,12.0018,12.723887,27.986098
0,78,3.039764,11.9316,12.380665,27.352029
0,79,3.419353,11.5983,10.143214,25.160867
0,80,3.110968,11.883,10.511211,25.505179
0,81,2.774304,11.8263,7.808199,22.408803
0,82,3.212374,11.5982,8.147854,22.958428
0,83,2.998025,12.0516,12.407312,27.456937
0,84,3.273336,11.8093,10.838372,25.921008
0,85,3.06619,26.4439,13.626535,43.136625
0,86,3.19343,11.6506,10.221913,25.065943
0,87,3.405853,11.5752,7.821617,22.80267
0,88,3.007765,11.9676,10.892384,25.867749
0,89,2.856729,18.9487,17.094296,38.899725
0,90,3.091449,11.8376,7.908991,22.83804
0,91,3.192152,12.0909,7.997872,23.280924
0,92,2.215051,11.991,8.895356,23.101407
0,93,3.120542,11.7978,8.003513,22.921855
0,94,2.326494,11.8678,8.614838,22.809132
0,95,2.774878,11.6745,8.467476,22.916854
0,96,3.025894,12.0544,8.065057,23.145351
0,97,3.006599,11.7814,7.784081,22.57208
0,98,2.379105,11.852,8.360808,22.591913
0,99,3.119338,11.7668,7.963865,22.850003
1,0,2715.180054,44.3213,16.87147,2776.372824
1,1,17.906702,14.0846,6.345762,38.337064
1,2,32.309756,13.6739,5.820582,51.804238
1,3,18.348198,13.7571,5.895177,38.000475
1,4,18.684287,13.6951,6.368098,38.747485
1,5,18.175736,13.7801,5.915954,37.87179
1,6,18.424809,13.8097,5.639357,37.873866
1,7,18.567085,13.7083,6.099938,38.375323
1,8,18.457548,13.877,6.096422,38.43097
1,9,18.287421,13.7892,6.06613,38.142751
1,10,17.983257,13.7088,5.649498,37.341555
1,11,18.191441,13.7057,6.796143,38.693284
1,12,21.257446,16.1275,5.700828,43.085774
1,13,32.657049,13.7507,5.947317,52.355066
1,14,21.973271,13.6466,5.879715,41.499586
1,15,28.893977,13.7314,5.758434,48.383811
1,16,20.528879,13.7282,6.021835,40.278914
1,17,21.736551,13.7613,5.696276,41.194127
1,18,17.206413,13.7142,6.17839,37.099003
1,19,17.644187,13.7796,5.838381,37.262168
1,20,18.437956,13.7666,5.985787,38.190343
1,21,17.564188,14.6444,6.313234,38.521822
1,22,17.218617,15.9758,6.396523,39.59094
1,23,17.75637,20.547,7.395968,45.699338
1,24,24.966166,13.7446,5.953584,44.66435
1,25,17.493503,13.9614,5.938763,37.393666
1,26,17.880703,13.9546,6.163412,37.998715
1,27,18.351291,13.8759,5.778451,38.005642
1,28,17.298042,13.7085,6.187645,37.194187
1,29,18.485271,13.8048,5.90218,38.192251
1,30,17.266042,13.9508,5.954622,37.171464
1,31,18.948118,13.6987,5.855171,38.501989
1,32,22.216065,14.3548,5.985766,42.556631
1,33,28.847811,13.6032,6.084317,48.535328
1,34,22.929465,14.0202,6.208238,43.157903
1,35,17.527317,13.6107,5.796728,36.934745
