layer,img,client,server,network,total
0,0,16.799579,165.2896,47.292699,229.381878
0,1,2.496971,99.1394,8.075813,109.712184
0,2,2.389268,96.5792,7.935378,106.903846
0,3,2.646562,93.4616,9.993101,106.101263
0,4,2.262047,95.8203,7.934694,106.017041
0,5,2.330639,89.5138,7.849622,99.694061
0,6,2.529007,89.7407,7.878719,100.148426
0,7,2.24414,89.275,7.886128,99.405268
0,8,2.472841,95.0796,7.902182,105.454623
0,9,2.616821,94.5845,8.05323,105.254551
0,10,2.300603,92.9165,10.371889,105.588992
0,11,2.676801,95.2173,7.919405,105.813506
0,12,2.574321,89.8659,7.794463,100.234684
0,13,1.809812,89.8071,7.949077,99.565989
0,14,2.342028,92.691,7.671887,102.704915
0,15,2.230825,89.1278,28.845693,120.204318
0,16,2.657376,90.6041,11.08803,104.349506
0,17,2.287955,106.5117,7.823521,116.623176
0,18,2.348583,94.2373,8.175878,104.761761
0,19,2.185345,94.7602,8.282803,105.228348
0,20,2.364379,94.8627,7.960398,105.187477
0,21,2.390175,95.1174,7.952102,105.459677
0,22,2.372416,88.4424,7.858164,98.67298
0,23,2.519989,92.1576,7.968141,102.64573
0,24,2.621043,93.6627,7.92569,104.209433
0,25,2.219567,96.2895,8.022118,106.531185
0,26,2.431341,104.9297,7.940724,115.301765
0,27,2.644469,104.0192,8.095344,114.759013
0,28,2.350028,106.0596,8.012773,116.422401
0,29,2.473378,113.9984,8.037341,124.509119
0,30,2.362028,135.2769,8.06733,145.706258
0,31,2.300917,127.201,8.055604,137.557521
0,32,2.384639,106.6204,7.864468,116.869507
0,33,2.660913,189.4256,7.884825,199.971338
0,34,2.224307,317.5395,39.027301,358.791108
0,35,2.4676,118.2293,13.571697,134.268597
0,36,3.500552,111.1123,7.836422,122.449274
0,37,1.981625,120.2495,7.989558,130.220683
0,38,2.226233,105.1601,8.035821,115.422154
0,39,2.28764,126.9877,9.397224,138.672564
0,40,2.183474,116.2641,8.145299,126.592873
0,41,2.149956,103.2544,18.175127,123.579483
0,42,3.096444,90.4728,11.345163,104.914407
