layer,img,client,server,network,total
0,0,9.249014,193.1348,16.918325,219.302139
0,1,1.567779,98.2534,8.55807,108.379249
0,2,1.593984,111.4788,8.42531,121.498094
0,3,1.757685,96.4496,12.550439,110.757724
0,4,1.834407,90.6895,8.300218,100.824125
0,5,2.133496,90.1509,8.386471,100.670867
0,6,2.243828,95.784,8.186148,106.213976
0,7,2.146404,91.8271,8.231274,102.204778
0,8,1.678186,93.3947,8.451544,103.52443
0,9,1.885499,92.2488,8.428382,102.562681
0,10,2.395364,99.0867,9.151699,110.633763
0,11,2.595602,92.5533,10.950889,106.099791
0,12,2.565677,91.7334,11.960732,106.259809
0,13,2.523566,94.0089,10.851998,107.384464
0,14,2.441715,93.4975,9.495991,105.435206
0,15,2.341772,99.5869,11.094863,113.023535
0,16,2.322124,89.4882,9.613147,101.423471
0,17,2.374253,93.7652,10.079763,106.219216
0,18,2.757953,96.5451,10.031909,109.334962
0,19,2.425715,99.1848,9.956886,111.567401
0,20,2.572417,98.349,9.737252,110.658669
0,21,2.432141,102.5277,10.020117,114.979958
0,22,3.141949,93.4953,13.081802,109.719051
0,23,2.32492,99.9045,10.015918,112.245338
0,24,2.484641,96.1887,14.601636,113.274977
0,25,2.916451,94.7243,9.640454,107.281205
0,26,2.244458,89.046,10.605989,101.896447
0,27,2.458955,93.6204,10.714151,106.793506
0,28,2.642991,97.2953,10.694417,110.632708
0,29,2.713508,96.3317,10.898099,109.943307
0,30,2.309272,91.0886,10.07504,103.472912
0,31,2.95408,94.0054,9.556067,106.515547
0,32,2.412289,96.8584,10.034976,109.305665
0,33,2.248402,90.1402,9.477345,101.865947
0,34,2.579806,94.4433,9.691124,106.71423
0,35,2.652769,89.4669,9.538911,101.65858
0,36,2.26668,95.095,9.993691,107.355371
0,37,2.69349,94.0955,9.756852,106.545842
0,38,2.67536,94.3412,9.875538,106.892098
0,39,2.335586,99.2549,9.664955,111.255441
0,40,2.315772,98.9203,10.284052,111.520124
0,41,2.351623,96.7118,12.582736,111.646159
0,42,2.464345,94.0658,10.409509,106.939654
0,43,2.582436,94.9675,9.770066,107.320002
0,44,2.589584,92.0852,10.505888,105.180672
0,45,2.427215,94.1226,10.813427,107.363242
0,46,2.416845,94.5821,9.92182,106.920765
0,47,2.417474,89.2295,9.427648,101.074622
0,48,2.450882,88.4466,10.229974,101.127456
0,49,2.694954,89.7772,9.68357,102.155724
0,50,2.400105,91.1088,13.241362,106.750267
