layer,img,client,server,network,total
0,0,22.092805,320.6285,18.246946,360.968251
0,1,2.315215,349.0815,8.2892,359.685915
0,2,2.659489,343.0635,8.417784,354.140773
0,3,2.195438,341.8169,8.080811,352.093149
0,4,2.080643,509.2401,8.592184,519.912927
0,5,2.17566,386.7984,8.426295,397.400355
0,6,1.938552,363.2118,8.781474,373.931826
0,7,1.9367,344.3124,7.947543,354.196643
0,8,2.350325,400.5546,8.576641,411.481566
0,9,2.250141,339.9854,8.157978,350.393519
0,10,3.633607,338.8261,11.999471,354.459178
0,11,3.750327,331.0804,12.756213,347.58694
0,12,3.648718,355.0911,11.803658,370.543476
0,13,3.783809,344.5369,12.138548,360.459257
0,14,3.568775,341.6392,12.640498,357.848473
0,15,3.578163,346.9843,12.293952,362.856415
0,16,3.768068,343.3533,11.812906,358.934274
0,17,3.830345,373.7407,12.44658,390.017625
0,18,3.919233,344.7595,12.015947,360.69468
0,19,3.861419,342.5315,12.439986,358.832905
0,20,3.695939,357.7616,12.370824,373.828363
0,21,3.851957,334.3396,11.768431,349.959988
0,22,3.67444,355.342,12.728152,371.744592
0,23,3.391535,354.9747,11.574914,369.941149
0,24,3.80792,374.974,12.988944,391.770864
0,25,3.739291,358.5351,12.021116,374.295507
0,26,3.747698,353.7819,11.021289,368.550887
0,27,3.515126,355.433,20.149382,379.097508
0,28,3.681791,364.5545,10.745237,378.981528
0,29,5.290403,341.0176,11.706375,358.014378
0,30,3.655365,354.3077,10.746894,368.709959
0,31,3.717291,372.6234,10.69656,387.037251
0,32,3.56233,355.4128,11.415533,370.390663
0,33,3.671107,351.8192,12.705658,368.195965
0,34,3.701235,344.8407,11.982284,360.524219
0,35,3.894178,363.7346,12.842418,380.471196
0,36,3.521405,360.9308,12.0665,376.518705
0,37,3.719291,371.0988,11.805017,386.623108
0,38,3.782068,354.9986,12.315913,371.096581
0,39,3.57283,361.943,11.984937,377.500767
0,40,3.96777,345.9967,12.235341,362.199811
0,41,3.587126,369.724,12.253994,385.56512
0,42,3.640329,373.3135,10.724896,387.678725
0,43,3.859882,356.4796,10.770135,371.109617
0,44,3.798216,369.6614,11.313698,384.773314
0,45,3.589774,365.2822,10.639511,379.511485
0,46,3.857827,350.3846,10.889018,365.131445
0,47,3.866678,366.269,11.111768,381.247446
0,48,3.78492,351.2447,10.983889,366.013509
0,49,3.713161,374.3536,11.944308,390.011069
0,50,2.946337,344.5039,10.268977,357.719214
0,51,3.645903,359.2006,10.724197,373.5707
0,52,4.057491,367.4615,10.818036,382.337027
0,53,3.372221,351.6062,10.998014,365.976435
0,54,3.993362,356.4966,10.645211,371.135173
0,55,4.069379,381.1329,10.828147,396.030426
0,56,3.788475,355.5555,28.280584,387.624559
