layer,img,client,server,network,total
0,0,10.454669,644.4005,21.394847,676.250016
0,1,1.873611,350.5324,8.651103,361.057114
0,2,2.062442,325.464,8.250377,335.776819
0,3,1.70713,328.6218,8.411321,338.740251
0,4,1.683909,340.3016,8.428955,350.414464
0,5,1.851833,328.0358,8.363253,338.250886
0,6,1.936572,326.2537,7.969209,336.159481
0,7,2.088738,347.2866,8.055053,357.430391
0,8,1.852444,338.628,9.536098,350.016542
0,9,2.005164,337.765,7.90155,347.671714
0,10,1.78574,361.3143,9.632321,372.732361
0,11,2.911081,324.208,10.087778,337.206859
0,12,2.935729,357.0535,11.582978,371.572207
0,13,3.431909,342.4536,10.006119,355.891628
0,14,3.051376,330.7874,10.15492,343.993696
0,15,3.428687,349.2424,10.452152,363.123239
0,16,3.266633,344.6453,10.318949,358.230882
0,17,3.132023,345.0848,9.785338,358.002161
0,18,3.701702,342.8112,10.457085,356.969987
0,19,3.157819,357.7613,10.151592,371.070711
0,20,2.97484,340.7552,10.127739,353.857779
0,21,3.239985,346.4869,9.882982,359.609867
0,22,2.973543,347.5696,9.864659,360.407802
0,23,3.024432,336.1285,10.901627,350.054559
0,24,3.135708,342.469,10.201438,355.806146
0,25,3.397243,339.767,9.971431,353.135674
0,26,3.254244,338.6678,10.105031,352.027075
0,27,3.158801,360.0376,10.069565,373.265966
0,28,2.793563,358.7287,10.361901,371.884164
0,29,3.111375,343.6666,9.822811,356.600786
0,30,3.044265,332.4161,10.445809,345.906174
0,31,3.460872,343.4815,10.457684,357.400056
0,32,3.001858,348.0851,10.038318,361.125276
0,33,3.384131,340.3061,9.646884,353.337115
0,34,2.970451,336.5377,9.812396,349.320547
0,35,2.925488,352.7882,10.247722,365.96141
0,36,2.932322,339.7427,9.939657,352.614679
0,37,3.2213,339.4012,10.433119,353.055619
0,38,3.221281,357.8984,10.037323,371.157004
0,39,3.202318,345.4819,10.381263,359.065481
0,40,3.329317,336.1326,9.831221,349.293138
0,41,3.250633,339.8216,9.806128,352.878361
0,42,3.391279,359.8692,10.064669,373.325148
0,43,2.879822,360.246,10.442768,373.56859
0,44,3.09569,409.2749,9.81657,422.18716
0,45,3.035209,359.6083,10.061941,372.70545
0,46,3.506056,430.898,10.618441,445.022497
0,47,3.180097,389.3671,10.322626,402.869823
0,48,3.08569,376.4002,10.313494,389.799384
0,49,2.877341,366.9209,9.940359,379.7386
0,50,2.434568,367.4593,9.095628,378.989496
0,51,3.245781,360.2082,9.916036,373.370017
0,52,3.043765,364.7173,9.991389,377.752454
0,53,3.333465,366.6894,9.884695,379.90756
0,54,2.932951,368.8524,38.534228,410.319579
0,55,2.927173,377.5371,13.221645,393.685918
