layer,img,client,server,network,total
0,0,10.605458,3298.9927,27.92562,3337.523778
0,1,3.242834,92.6712,9.274248,105.188282
0,2,2.976238,84.0571,8.582795,95.616133
0,3,3.33565,84.5585,8.107413,96.001563
0,4,2.42425,89.0305,8.044464,99.499214
0,5,3.436688,84.177,8.09276,95.706448
0,6,2.964257,89.6906,8.833511,101.488368
0,7,3.199186,83.7048,10.523502,97.427488
0,8,3.362076,81.9381,10.878555,96.178731
0,9,3.348168,82.0037,7.973422,93.32529
0,10,3.234964,82.7257,7.950153,93.910817
0,11,3.497671,83.9428,7.925048,95.365519
0,12,3.432059,84.9701,7.984261,96.38642
0,13,3.593542,86.2433,8.217467,98.054309
0,14,3.150147,92.254,8.009445,103.413592
0,15,2.496622,79.9471,10.830068,93.27379
0,16,3.126833,92.4913,12.826168,108.444301
0,17,2.852552,81.0844,9.976383,93.913335
0,18,3.166167,83.2976,8.04026,94.504027
0,19,2.72431,131.9219,46.252656,180.898866
0,20,2.912275,95.6807,8.272233,106.865208
0,21,3.360669,98.994,7.972894,110.327563
0,22,3.257482,80.4497,11.277776,94.984958
0,23,3.226927,105.0858,22.478778,130.791505
0,24,3.482614,101.9006,7.859918,113.243132
0,25,3.276001,101.4143,13.223016,117.913317
0,26,3.584245,96.4727,8.250834,108.307779
0,27,3.260964,114.3137,8.802641,126.377305
0,28,3.039053,104.3215,8.251422,115.611975
0,29,3.500485,103.4319,8.372568,115.304953
0,30,2.821273,101.8148,8.502317,113.13839
0,31,2.353806,86.0883,8.100592,96.542698
0,32,3.10187,81.288,8.048021,92.437891
0,33,2.854497,84.6147,8.546903,96.0161
0,34,3.288779,81.1561,7.840177,92.285056
0,35,3.285761,82.2072,8.038369,93.53133
0,36,3.04998,78.4736,8.086036,89.609616
0,37,3.030184,82.0069,7.867145,92.904229
0,38,3.582282,83.3236,9.597499,96.503381
0,39,3.26076,83.0051,7.764401,94.030261
0,40,3.708636,82.275,8.078422,94.062058
0,41,3.484244,83.4737,7.783565,94.741509
0,42,3.294372,87.881,7.895818,99.07119
0,43,3.231112,80.8291,7.902209,91.962421
0,44,3.29652,81.65,7.768837,92.715357
0,45,3.103999,79.253,10.204559,92.561558
0,46,2.762624,82.7365,12.321587,97.820711
0,47,2.619974,85.9022,8.005559,96.527733
0,48,3.348428,78.0497,8.108062,89.50619
0,49,3.263686,86.5231,7.810367,97.597153
0,50,3.609431,85.6242,8.163464,97.397095
0,51,2.724921,78.1168,7.965182,88.806903
0,52,2.089802,93.7381,48.58974,144.417642
0,53,3.477207,106.7566,21.107497,131.341304
0,54,3.04598,106.4193,8.372553,117.837833
0,55,1.989227,251.0081,8.465361,261.462688
0,56,2.650475,138.7471,11.315626,152.713201
0,57,3.110129,99.3155,8.021137,110.446766
0,58,2.562678,103.6208,8.557429,114.740907
0,59,2.732865,115.2175,8.950461,126.900826
0,60,3.445874,109.6276,8.186991,121.260465
0,61,2.761495,102.6937,8.523333,113.978528
0,62,2.660031,83.4838,7.871873,94.015704
0,63,2.950238,83.8693,7.836247,94.655785
0,64,1.776057,84.3434,8.156823,94.27628
0,65,3.186667,81.3201,7.98603,92.492797
0,66,3.541356,89.0332,7.891407,100.465963
0,67,3.105518,84.2777,8.098281,95.481499
0,68,2.68955,92.0488,8.196235,102.934585
0,69,2.950849,81.4081,7.829899,92.188848
0,70,3.140536,83.7513,8.291658,95.183494
0,71,3.116832,89.3353,7.713735,100.165867
0,72,3.275742,82.6006,7.820784,93.697126
0,73,3.229611,85.0698,7.733852,96.033263
0,74,3.351613,84.7271,7.787049,95.865762
0,75,2.575567,84.6539,8.220216,95.449683
0,76,3.304279,84.5789,9.641473,97.524652
0,77,3.499504,76.7734,10.231518,90.504422
0,78,3.437911,83.7296,9.477278,96.644789
0,79,3.013035,96.8217,7.983424,107.818159
0,80,3.439744,92.9698,7.957705,104.367249
0,81,3.221538,83.6654,7.94472,94.831658
0,82,3.447781,89.7268,7.852704,101.027285
0,83,3.224056,86.8949,7.983424,98.10238
0,84,2.423973,84.7055,10.957222,98.086695
0,85,3.02685,83.7356,8.021725,94.784175
0,86,3.037813,90.6411,7.862377,101.54129
0,87,3.651839,91.9345,7.660304,103.246643
0,88,3.271019,101.6813,7.94225,112.894569
0,89,3.272353,119.5428,9.662866,132.478019
0,90,3.035591,99.4526,7.979332,110.467523
0,91,2.856089,111.8012,8.562642,123.219931
0,92,3.244631,103.4191,8.036027,114.699758
0,93,2.53427,107.263,9.212555,119.009825
0,94,2.848162,100.4869,10.017235,113.352297
0,95,3.327576,95.6414,7.830616,106.799592
0,96,3.054813,105.4602,8.137266,116.652279
0,97,3.255445,80.4785,22.512343,106.246288
0,98,3.362557,87.6941,7.752878,98.809535
0,99,3.014405,82.8891,7.902824,93.806329
1,0,40.380061,3001.371,12.883854,3054.634915
1,1,10.724902,92.3311,8.231287,111.287289
1,2,10.125969,89.8151,6.108178,106.049247
1,3,9.004401,247.8809,8.018452,264.903753
1,4,10.962886,96.7378,6.024427,113.725113
1,5,11.27926,81.0301,6.178095,98.487455
1,6,9.956467,88.3266,6.742093,105.02516
1,7,10.108876,83.4266,7.042169,100.577645
1,8,9.368571,78.6146,6.244438,94.227609
1,9,9.203829,86.0783,5.985913,101.268042
1,10,10.265156,81.39,6.095087,97.750243
1,11,10.212526,86.9544,5.931156,103.098082
1,12,10.187637,87.0275,6.090355,103.305492
1,13,10.134395,89.9305,6.070963,106.135858
1,14,10.096376,83.5396,5.828527,99.464503
1,15,9.203681,92.3775,8.493982,110.075163
1,16,10.15034,79.239,6.11071,95.50005
1,17,9.692593,84.8407,6.373485,100.906778
1,18,9.392423,85.4572,8.171717,103.02134
1,19,10.568363,83.62,6.202336,100.390699
1,20,9.796114,180.29,12.653139,202.739253
1,21,9.200051,117.2596,9.732461,136.192112
1,22,10.018153,87.5056,5.832887,103.35664
1,23,9.641204,201.0194,6.293794,216.954398
1,24,10.2526,146.685,8.026252,164.963852
1,25,10.264452,138.2938,7.323273,155.881525
1,26,10.424713,114.7502,6.5415,131.716413
1,27,9.326534,94.0564,6.220352,109.603286
1,28,10.412657,93.8385,6.17023,110.421387
1,29,10.23884,100.7592,6.242815,117.240855
1,30,10.220321,102.9268,6.217536,119.364657
1,31,9.141365,98.1118,9.207644,116.460809
1,32,9.168588,90.5497,6.223234,105.941522
1,33,10.093062,88.718,7.668337,106.479399
1,34,10.320286,87.8897,6.18724,104.397226
1,35,10.201025,76.8249,8.851887,95.877812
1,36,10.157154,84.9123,6.111955,101.181409
1,37,10.07369,88.9603,9.214816,108.248806
1,38,10.234914,94.2002,6.206534,110.641648
1,39,10.54653,94.273,6.206587,111.026117
1,40,10.067061,98.0794,5.670873,113.817334
1,41,9.641038,92.4759,5.994645,108.111583
1,42,10.140803,88.686,5.941409,104.768212
1,43,10.361694,89.0068,9.323559,108.692053
1,44,9.382182,97.551,8.974305,115.907487
1,45,9.455202,97.2458,6.114265,112.815267
1,46,10.795828,87.9524,8.499566,107.247794
1,47,10.433491,88.5564,6.09423,105.084121
1,48,9.397071,98.8891,7.387868,115.674039
1,49,10.34799,87.8731,8.05823,106.27932
1,50,9.357571,86.9575,6.039056,102.354127
1,51,10.210748,87.2185,6.819328,104.248576
1,52,10.399379,82.993,6.732981,100.12536
1,53,10.265489,91.5345,6.133887,107.933876
1,54,10.658382,93.9288,5.781815,110.368997
