layer,top1,top5
0,0.64,0.82
1,0.64,0.8
2,0.61,0.8
3,0.06,0.13
4,0.63,0.8
5,0.64,0.82
6,0.0,0.02
7,0.63,0.84
8,0.64,0.85
9,0.63,0.85
10,0.67,0.82
11,0.0,0.03
12,0.0,0.03
13,0.63,0.85
14,0.64,0.84
15,0.0,0.01
16,0.64,0.85
17,0.65,0.85
18,0.64,0.84
19,0.64,0.85
20,0.64,0.84
21,0.0,0.03
22,0.0,0.03
23,0.64,0.85
24,0.64,0.85
25,0.0,0.01
26,0.65,0.84
27,0.64,0.84
28,0.64,0.84
29,0.63,0.83
30,0.64,0.83
31,0.65,0.83
32,0.15,0.4
33,0.15,0.4
34,0.65,0.82
35,0.65,0.83
36,0.0,0.01
37,0.66,0.85
38,0.64,0.84
39,0.65,0.84
40,0.64,0.84
41,0.64,0.84
42,0.64,0.84
43,0.64,0.84
44,0.24,0.53
45,0.64,0.84
46,0.65,0.84
47,0.0,0.03
48,0.64,0.83
49,0.64,0.83
50,0.64,0.83
51,0.64,0.83
52,0.64,0.84
53,0.64,0.83
54,0.52,0.71
55,0.52,0.71
56,0.63,0.84
57,0.64,0.84
58,0.01,0.01
59,0.64,0.82
60,0.64,0.84
61,0.64,0.82
62,0.64,0.83
63,0.63,0.82
64,0.65,0.82
65,0.61,0.77
66,0.6,0.81
67,0.63,0.84
68,0.0,0.01
69,0.61,0.84
70,0.65,0.84
71,0.65,0.84
72,0.65,0.84
73,0.06,0.09
74,0.64,0.85
75,0.63,0.83
