layer,img,client,server,network,total
0,0,10.497267,2842.9902,29.190181,2882.677648
0,1,3.32493,85.1361,8.273415,96.734445
0,2,1.913685,81.5654,8.468962,91.948047
0,3,2.513031,78.9848,8.728585,90.226416
0,4,3.061155,85.7009,8.239721,97.001776
0,5,3.189062,81.6555,9.469444,94.314006
0,6,3.689093,79.9308,8.528892,92.148785
0,7,3.190672,82.0595,10.996629,96.246801
0,8,3.164192,83.8332,8.046366,95.043758
0,9,3.165209,85.7653,8.385283,97.315792
0,10,3.08171,86.443,11.903598,101.428308
0,11,2.859231,88.3291,7.833594,99.021925
0,12,3.493725,77.0887,7.92601,88.508435
0,13,2.639993,83.6302,8.798067,95.06826
0,14,3.779204,92.2256,7.951128,103.955932
0,15,3.259876,84.8608,8.037981,96.158657
0,16,3.023118,87.1159,7.789417,97.928435
0,17,2.54229,76.8466,7.939,87.32789
0,18,3.265042,80.7785,8.33178,92.375322
0,19,3.654261,87.8577,7.685499,99.19746
0,20,3.185487,85.0876,8.099606,96.372693
0,21,3.358227,80.2286,9.699471,93.286298
0,22,2.529142,78.7265,9.043315,90.298957
0,23,3.290153,94.1268,11.729542,109.146495
0,24,3.058303,85.0412,7.978174,96.077677
0,25,2.696363,87.5732,11.772428,102.041991
0,26,2.525828,81.1206,7.854869,91.501297
0,27,2.968767,84.0931,8.104819,95.166686
0,28,3.077211,83.1448,7.915705,94.137716
0,29,3.500947,85.3313,10.883784,99.716031
0,30,3.220876,84.8448,7.787136,95.852812
0,31,3.218673,81.4111,7.919201,92.548974
0,32,3.08197,84.218,8.276049,95.576019
0,33,3.205821,87.0364,9.835679,100.0779
0,34,3.202913,85.1247,7.935509,96.263122
0,35,3.36543,91.402,8.123999,102.891429
0,36,2.981212,80.8498,11.360436,95.191448
0,37,3.18171,88.7178,9.547507,101.447017
0,38,3.132988,91.5226,8.056657,102.712245
0,39,2.904342,87.0597,8.178063,98.142105
0,40,3.139822,83.7568,7.953721,94.850343
0,41,3.388449,85.4028,11.95,100.741249
0,42,3.239857,83.719,9.880614,96.839471
0,43,2.849547,79.1065,11.874564,93.830611
0,44,2.552457,87.7588,8.889099,99.200356
0,45,3.110951,83.7563,7.952758,94.820009
0,46,3.491614,88.358,7.914384,99.763998
0,47,2.993157,90.4973,53.182386,146.672843
0,48,3.015323,88.9058,8.564924,100.486047
0,49,3.353171,82.7952,7.996776,94.145147
0,50,3.242728,90.1754,7.932431,101.350559
0,51,3.349356,82.8467,8.013294,94.20935
0,52,3.123544,84.399,9.773462,97.296006
0,53,3.185877,82.8596,8.017042,94.062519
0,54,3.280765,87.2459,7.895276,98.421941
0,55,2.809381,90.9374,8.19644,101.943221
0,56,3.352338,83.0624,7.888094,94.302832
0,57,2.992582,84.6373,7.843753,95.473635
0,58,3.269376,89.2991,7.7885,100.356976
0,59,3.091878,91.2798,9.522156,103.893834
0,60,3.227543,83.3471,7.9148,94.489443
0,61,3.02997,85.3076,7.960818,96.298388
0,62,3.12597,81.0313,12.19484,96.35211
0,63,2.841769,88.1792,8.627868,99.648837
0,64,3.467318,89.0296,7.968578,100.465496
0,65,3.161877,87.8333,8.148166,99.143343
0,66,3.309505,84.3329,10.307911,97.950316
0,67,3.624798,85.5066,7.978408,97.109806
0,68,2.90675,87.1009,11.891185,101.898835
0,69,3.071008,81.367,9.528441,93.966449
0,70,3.281839,92.4226,7.79942,103.503859
0,71,2.85962,78.2187,10.392282,91.470602
0,72,3.218802,85.9015,7.984487,97.104789
0,73,3.281246,83.8175,7.96636,95.065106
0,74,3.424542,89.5677,7.871346,100.863588
0,75,2.236089,90.118,14.346738,106.700827
