layer,img,client,server,network,total
0,0,8.78999,88.1097,33.803083,130.702773
0,1,2.69345,13.3238,8.457909,24.475159
0,2,2.947595,13.1002,9.651702,25.699497
0,3,2.593618,12.913,8.162773,23.669391
0,4,2.680895,13.0576,9.509841,25.248336
0,5,2.638562,14.0104,8.146545,24.795507
0,6,1.751331,14.8819,8.09311,24.726341
0,7,2.570951,12.6252,8.215354,23.411505
0,8,2.246622,12.8652,8.242072,23.353894
0,9,2.41262,13.0316,8.002081,23.446301
0,10,3.828955,12.97,8.204865,25.00382
0,11,2.315862,14.4134,8.084874,24.814136
0,12,2.292159,12.9402,8.912323,24.144682
0,13,2.053976,12.74,9.159115,23.953091
0,14,2.180289,12.4462,10.017298,24.643787
0,15,1.917089,12.81,9.121837,23.848926
0,16,2.591377,12.8386,8.478411,23.908388
0,17,2.094642,13.2305,9.199498,24.52464
0,18,1.967495,12.8664,9.324157,24.158052
0,19,2.317751,12.8334,8.871255,24.022406
0,20,2.407972,12.9765,8.623675,24.008147
0,21,2.303159,13.1041,8.666165,24.073424
0,22,2.433453,13.2177,8.45401,24.105163
0,23,2.113364,13.0966,8.278984,23.488948
0,24,2.290214,13.0201,8.188264,23.498578
0,25,1.847108,13.3935,8.371024,23.611632
0,26,2.495786,13.0812,8.367791,23.944777
0,27,2.509323,12.5347,8.670146,23.714169
0,28,2.667784,13.0437,8.2747,23.986184
0,29,2.00868,12.7465,8.327403,23.082583
0,30,2.618766,13.277,8.359026,24.254792
0,31,2.399546,13.1825,8.298175,23.880221
0,32,2.807874,12.6544,8.508168,23.970442
0,33,2.634469,12.7126,8.675169,24.022238
0,34,2.093661,12.9803,8.41747,23.491431
0,35,1.823294,12.705,8.334495,22.862789
0,36,2.597303,12.5649,8.389244,23.551447
0,37,2.020144,12.8738,8.285324,23.179268
0,38,2.191919,12.4959,8.381449,23.069268
0,39,2.131808,13.4034,8.269626,23.804834
0,40,1.866071,15.416,9.702226,26.984297
0,41,2.007106,13.8959,10.199227,26.102233
0,42,2.755857,12.6895,8.309793,23.75515
0,43,2.106087,12.8161,8.342172,23.264359
0,44,2.500841,13.0329,8.441276,23.975017
0,45,2.552915,13.5218,9.32573,25.400445
0,46,2.543026,13.1086,8.318817,23.970443
0,47,2.147641,12.9806,9.087069,24.21531
0,48,2.214993,13.7477,8.777612,24.740305
0,49,2.748375,13.6172,8.557912,24.923487
0,50,1.75911,13.1489,9.478558,24.386568
0,51,2.703709,13.3225,8.41808,24.444289
0,52,2.661209,12.6618,8.511342,23.834351
0,53,1.924848,13.0739,9.120934,24.119682
0,54,2.79293,13.2977,8.709433,24.800063
0,55,2.347195,13.0651,8.406853,23.819148
0,56,1.629703,13.1391,8.876551,23.645354
0,57,2.836819,12.997,8.308863,24.142682
0,58,2.940855,13.5619,8.460992,24.963747
0,59,2.100642,13.1733,8.302616,23.576558
0,60,2.615525,13.2984,8.512143,24.426068
0,61,2.007032,13.4748,9.077622,24.559454
0,62,2.078716,17.0056,20.22267,39.306986
0,63,2.586174,13.2644,8.226757,24.077331
0,64,3.075946,12.8955,8.402659,24.374105
0,65,2.034014,13.1489,9.190617,24.373531
0,66,2.030791,13.035,9.228944,24.294735
0,67,3.077724,12.5085,8.471329,24.057553
0,68,2.650969,12.7626,8.490004,23.903573
0,69,2.470971,12.9908,8.299933,23.761704
0,70,2.635562,13.0555,8.397546,24.088608
0,71,1.726961,12.8342,9.121434,23.682595
0,72,2.693228,12.7603,8.271955,23.725483
0,73,2.673691,13.0124,8.311018,23.997109
0,74,2.654598,13.0259,8.308407,23.988905
