layer,top1,top5
0,0.67,0.81
1,0.61,0.74
2,0.63,0.79
3,0.67,0.82
4,0.65,0.81
5,0.65,0.81
6,0.66,0.83
7,0.66,0.81
8,0.67,0.81
9,0.66,0.8
10,0.66,0.81
11,0.66,0.8
12,0.66,0.8
13,0.65,0.8
14,0.66,0.81
15,0.63,0.81
16,0.66,0.8
17,0.66,0.81
18,0.66,0.81
19,0.66,0.81
20,0.64,0.8
21,0.65,0.8
22,0.67,0.81
23,0.65,0.8
24,0.65,0.8
25,0.64,0.8
26,0.65,0.8
27,0.65,0.81
28,0.66,0.8
29,0.66,0.81
30,0.66,0.81
31,0.67,0.81
32,0.67,0.8
33,0.67,0.81
34,0.66,0.81
35,0.66,0.81
36,0.67,0.81
37,0.66,0.81
38,0.66,0.81
39,0.67,0.82
40,0.67,0.81
