layer,img,client,server,network,total
0,0,12.601858,13603.0675,55.791697,13671.461055
0,1,2.923653,163.7273,13.036013,179.686966
0,2,3.041558,158.1253,8.39074,169.557598
0,3,2.938467,155.8147,14.764831,173.517998
0,4,2.959578,158.3748,14.134617,175.468995
0,5,3.149557,151.7383,8.302109,163.189966
0,6,3.111706,148.1134,8.15894,159.384046
0,7,2.949411,145.2008,8.277923,156.428134
0,8,3.198964,161.8288,8.28457,173.312334
0,9,2.939208,167.85,14.663249,185.452457
0,10,3.124428,141.837,14.618412,159.57984
0,11,3.301074,157.0481,16.783377,177.132551
0,12,2.982577,168.6573,13.750174,185.390051
0,13,3.245426,143.2029,13.540564,159.98889
0,14,3.240297,146.1881,12.654249,162.082646
0,15,2.926745,150.181,12.008181,165.115926
0,16,3.061447,160.561,14.516314,178.138761
0,17,3.086891,145.2503,8.109684,156.446875
0,18,3.249871,157.5221,15.193204,175.965175
0,19,2.795265,146.3678,12.783286,161.946351
0,20,3.133187,147.5647,12.054696,162.752583
0,21,2.6781,154.7853,14.579653,172.043053
0,22,3.407277,143.4497,11.053605,157.910582
0,23,2.924856,141.3801,12.257715,156.562671
0,24,3.017967,141.9924,8.192972,153.203339
0,25,3.278278,165.2066,16.237811,184.722689
0,26,3.121039,141.1776,10.589087,154.887726
0,27,2.879135,138.5893,13.850825,155.31926
0,28,3.151502,160.4738,16.700047,180.325349
0,29,3.164279,187.7042,15.078435,205.946914
0,30,3.184149,156.7045,8.331243,168.219892
0,31,3.069261,158.4856,8.27442,169.829281
0,32,2.990096,158.2943,13.755531,175.039927
0,33,3.032744,220.2851,16.112658,239.430502
0,34,3.071096,249.8965,9.235114,262.20271
0,35,3.190334,232.2937,8.717321,244.201355
0,36,2.932856,167.6931,10.024668,180.650624
0,37,3.163261,154.579,8.350063,166.092324
0,38,2.795876,159.7623,8.635424,171.1936
0,39,3.010448,188.6549,8.395021,200.060369
0,40,3.003855,267.8489,10.271854,281.124609
0,41,2.803709,311.7118,18.290299,332.805808
0,42,2.539916,236.9732,12.964408,252.477524
0,43,2.659137,187.4606,10.67944,200.799177
0,44,2.865597,159.9917,8.345007,171.202304
0,45,3.101058,172.5185,11.933156,187.552714
0,46,3.150669,181.6682,8.525873,193.344742
0,47,2.994799,201.1531,10.090534,214.238433
0,48,3.087558,183.486,8.335685,194.909243
0,49,3.248945,205.0444,10.602815,218.89616
0,50,3.00754,191.3938,11.152877,205.554217
0,51,3.289259,200.6562,8.416106,212.361565
0,52,2.963282,207.4979,8.680458,219.14164
0,53,2.785154,190.4847,8.626755,201.896609
0,54,2.799413,176.1793,33.487186,212.465899
0,55,3.237779,269.6701,8.456674,281.364553
0,56,3.320797,241.0763,16.424428,260.821525
0,57,3.079484,222.7972,10.023712,235.900396
0,58,2.316622,219.9211,15.720466,237.958188
0,59,2.725784,200.4193,11.248256,214.39334
0,60,2.895116,159.9537,8.842003,171.690819
0,61,3.239779,183.6561,8.324288,195.220167
0,62,3.022577,174.4007,9.087468,186.510745
0,63,3.298056,167.5341,8.127545,178.959701
0,64,2.836653,178.2979,8.664137,189.79869
0,65,2.610989,172.6021,8.31656,183.529649
0,66,2.403659,169.9938,15.893027,188.290486
0,67,3.030781,216.6143,8.781029,228.42611
0,68,3.072614,204.4766,8.194408,215.743622
0,69,2.722192,264.5615,10.633179,277.916871
0,70,2.284048,233.0621,9.455075,244.801223
0,71,2.941985,263.3664,15.390332,281.698717
0,72,3.155483,206.6208,13.836122,223.612405
0,73,3.283445,187.0595,8.462035,198.80498
0,74,3.040151,178.5772,8.168526,189.785877
0,75,2.924857,190.4477,8.647258,202.019815
0,76,3.226982,203.7263,11.224351,218.177633
0,77,2.877523,234.82,16.742074,254.439597
0,78,3.382925,195.9437,8.868916,208.195541
0,79,3.166242,178.1052,16.504642,197.776084
0,80,3.090613,217.3698,8.323305,228.783718
0,81,3.532442,197.3174,8.967459,209.817301
0,82,2.592397,175.568,10.249218,188.409615
0,83,2.895912,144.8765,8.215639,155.988051
0,84,2.132643,152.7548,9.813937,164.70138
0,85,2.843135,154.2597,11.631371,168.734206
0,86,2.753043,187.6979,8.411963,198.862906
0,87,3.111003,182.7264,8.36113,194.198533
0,88,3.17889,170.1787,8.604356,181.961946
0,89,3.143835,147.4845,8.319887,158.948222
0,90,3.236297,176.7076,13.544939,193.488836
0,91,3.091428,173.925,8.781216,185.797644
0,92,2.911431,149.584,8.669175,161.164606
0,93,2.880764,159.4435,8.242792,170.567056
0,94,2.934708,159.1676,12.655719,174.758027
0,95,3.086503,174.3665,8.208885,185.661888
0,96,2.808172,167.9463,15.306262,186.060734
0,97,3.058095,148.8661,13.116367,165.040562
0,98,2.698062,173.8353,8.385663,184.919025
0,99,2.779451,164.7599,19.472892,187.012243
1,0,23.785012,11847.3792,8.492048,11879.65626
1,1,7.601619,153.4367,5.386399,166.424718
1,2,7.16379,171.9463,5.161799,184.271889
1,3,7.20842,194.244,5.972767,207.425187
1,4,7.356918,170.4602,3.384138,181.201256
1,5,6.28056,197.0761,5.900488,209.257148
1,6,7.621415,170.3797,6.50892,184.510035
1,7,7.36464,163.9974,3.272679,174.634719
1,8,6.210745,275.1123,6.212248,287.535293
1,9,7.157198,201.7315,3.837133,212.725831
1,10,7.099569,171.4498,3.749154,182.298523
1,11,6.749165,164.6344,3.833036,175.216601
1,12,6.574074,146.7087,3.336812,156.619586
1,13,6.030433,187.4256,5.42975,198.885783
1,14,7.276919,167.1786,3.492755,177.948274
1,15,7.353325,163.2042,3.300315,173.85784
1,16,7.319178,165.7353,3.459332,176.51381
1,17,6.165505,166.7345,3.304568,176.204573
1,18,7.13955,149.8305,3.613585,160.583635
1,19,7.39351,191.3702,3.220223,201.983933
1,20,7.221456,185.515,3.386079,196.122535
1,21,7.077532,178.0684,4.972874,190.118806
1,22,7.071532,158.201,3.274626,168.547158
1,23,7.377454,158.6402,5.61084,171.628494
1,24,6.72074,180.9986,4.550573,192.269913
1,25,7.094014,257.5747,3.712165,268.380879
1,26,7.150883,530.1321,3.497064,540.780047
1,27,8.898382,372.5853,4.569422,386.053104
1,28,7.722525,378.1221,16.09636,401.940985
1,29,7.712229,260.5248,7.615452,275.852481
1,30,6.360781,193.651,3.794504,203.806285
1,31,6.955015,190.4274,3.973305,201.35572
1,32,7.626303,195.9706,4.185856,207.782759
1,33,7.251586,184.2418,4.117194,195.61058
1,34,7.323067,167.2749,3.485457,178.083424
1,35,7.036162,174.2341,5.255827,186.526089
1,36,6.892016,175.4368,3.457447,185.786263
1,37,6.107006,159.8637,3.331464,169.30217
