layer,top1,top5
0,0.67,0.82
1,0.67,0.82
2,0.65,0.79
3,0.64,0.81
4,0.65,0.81
5,0.65,0.81
6,0.65,0.81
7,0.65,0.81
8,0.66,0.82
9,0.66,0.82
10,0.66,0.82
11,0.67,0.8
12,0.67,0.81
13,0.66,0.82
14,0.66,0.82
15,0.66,0.82
16,0.66,0.82
17,0.66,0.82
18,0.66,0.82
19,0.66,0.82
20,0.67,0.82
21,0.66,0.82
22,0.66,0.82
23,0.66,0.82
24,0.66,0.82
25,0.65,0.82
26,0.65,0.82
27,0.65,0.82
28,0.65,0.82
29,0.65,0.82
30,0.65,0.82
31,0.64,0.82
32,0.65,0.82
33,0.65,0.82
34,0.65,0.82
35,0.65,0.82
36,0.65,0.82
37,0.65,0.82
38,0.65,0.82
39,0.65,0.82
40,0.65,0.81
