layer,img,client,server,network,total
0,0,17.732822,12776.3017,812.79452,13606.829042
0,1,3.221292,147.3986,13.918419,164.538311
0,2,3.328371,145.0796,9.364432,157.772403
0,3,3.397103,152.8124,8.508995,164.718498
0,4,3.133346,142.9758,13.502863,159.612009
0,5,3.236193,150.2553,10.444682,163.936175
0,6,3.281606,151.3151,8.367956,162.964662
0,7,3.214468,159.9043,8.268724,171.387492
0,8,3.263872,146.794,8.270756,158.328628
0,9,2.688004,176.6539,16.337337,195.679241
0,10,3.15021,156.4641,14.111417,173.725727
0,11,3.74873,183.5464,20.211929,207.507059
0,12,3.42443,155.1035,8.227885,166.755815
0,13,3.093129,177.0541,15.439853,195.587082
0,14,3.295072,162.713,17.266787,183.274859
0,15,3.002239,148.1006,8.323221,159.42606
0,16,3.748979,143.2875,8.352122,155.388601
0,17,3.311444,151.8915,12.694804,167.897748
0,18,3.307888,161.6963,8.383529,173.387717
0,19,3.213331,166.9769,8.802803,178.993034
0,20,3.432912,153.2006,8.419346,165.052858
0,21,3.349847,150.9395,8.293881,162.583228
0,22,3.184216,141.542,14.087115,158.813331
0,23,3.51933,147.1034,13.561338,164.184068
0,24,3.080444,157.2281,8.508543,168.817087
0,25,3.173911,157.3947,8.337859,168.90647
0,26,3.343172,184.1866,8.601568,196.13134
0,27,3.443812,246.5617,8.134717,258.140229
0,28,3.213027,144.8357,8.437633,156.48636
0,29,3.301111,144.9184,8.026099,156.24561
0,30,3.022633,155.7922,8.178691,166.993524
0,31,3.254319,149.6025,8.121509,160.978328
0,32,3.361461,160.7383,8.377911,172.477672
0,33,3.402207,202.2734,8.744899,214.420506
0,34,3.143954,197.4565,9.682611,210.283065
0,35,3.274785,168.1974,8.132248,179.604433
0,36,3.090552,168.8477,8.2489,180.187152
0,37,3.342081,179.7217,8.175897,191.239678
0,38,3.10248,158.6472,8.358484,170.108164
0,39,3.102258,181.1414,14.461826,198.705484
0,40,2.979392,148.9768,8.358976,160.315168
0,41,3.366465,144.6296,13.831293,161.827358
0,42,2.916878,144.2536,11.459748,158.630226
0,43,3.207947,178.5948,8.028132,189.830879
0,44,3.202225,163.8892,13.322637,180.414062
0,45,3.36528,157.3102,15.523301,176.198781
0,46,3.144829,150.9263,13.696612,167.767741
0,47,3.338046,158.3284,8.147936,169.814382
0,48,2.73387,153.1024,14.228583,170.064853
0,49,3.179067,151.439,12.622666,167.240733
0,50,3.263464,160.1745,16.065634,179.503598
0,51,3.229906,157.9867,8.194437,169.411043
0,52,3.103706,155.7632,8.135486,167.002392
0,53,3.615532,162.4537,7.912746,173.981978
0,54,3.604531,169.3878,8.327686,181.320017
0,55,3.228991,164.2178,8.308986,175.755777
0,56,2.619259,166.4129,8.54909,177.581249
0,57,3.162335,146.155,8.2271,157.544435
0,58,2.690897,170.1986,16.048907,188.938404
0,59,3.225873,159.5062,13.485793,176.217866
0,60,3.040132,159.7389,8.129134,170.908166
0,61,3.310382,149.8412,13.507031,166.658613
0,62,3.03365,160.8543,8.474682,172.362632
0,63,3.154828,170.0063,8.214298,181.375426
0,64,3.93555,180.6847,13.710871,198.331121
0,65,3.160008,165.2277,8.202489,176.590197
0,66,3.237627,163.3653,8.224979,174.827906
0,67,2.941559,179.0967,17.100073,199.138332
0,68,2.309069,156.1954,8.719994,167.224463
0,69,3.469003,150.8079,8.171221,162.448124
0,70,3.681628,160.0286,11.439109,175.149337
0,71,3.854682,176.9846,9.869539,190.708821
0,72,3.780027,192.2385,9.060048,205.078575
0,73,4.127691,200.0823,8.632639,212.84263
0,74,3.886408,158.906,11.203399,173.995807
0,75,3.692641,173.5184,13.711199,190.92224
0,76,3.882325,152.4559,12.223373,168.561598
0,77,3.88164,153.401,12.649167,169.931807
0,78,3.825321,152.8792,13.718484,170.423005
0,79,3.810708,149.7571,12.899289,166.467097
0,80,3.646821,151.4834,8.004867,163.135088
0,81,3.356657,145.6427,11.05026,160.049617
0,82,4.070448,155.81,8.184682,168.06513
0,83,3.705894,152.8368,12.949462,169.492156
0,84,3.152934,156.189,13.884749,173.226683
0,85,3.194382,149.7377,11.4819,164.413982
0,86,3.321264,150.104,8.962283,162.387547
0,87,3.787081,159.6006,15.528345,178.916026
0,88,3.986507,152.7806,13.574199,170.341306
0,89,4.027882,158.0871,13.398426,175.513408
0,90,3.588099,152.7276,13.285297,169.600996
0,91,3.478069,159.6142,13.450215,176.542484
0,92,4.091603,160.8463,8.175423,173.113326
0,93,3.669897,145.6628,8.083282,157.415979
0,94,3.68336,156.4361,8.177084,168.296544
0,95,3.794593,154.1346,9.451285,167.380478
0,96,3.704862,149.8066,14.323168,167.83463
0,97,3.438097,149.19,14.224739,166.852836
0,98,3.729785,158.4049,14.753308,176.887993
0,99,3.858222,150.7153,11.675517,166.249039
1,0,5041.538201,14389.2647,6.386659,19437.18956
1,1,12.128079,168.2513,5.819738,186.199117
1,2,13.110292,172.477,5.518464,191.105756
1,3,16.259778,169.7877,5.476362,191.52384
1,4,20.269432,170.1815,6.765573,197.216505
1,5,19.573703,182.0415,5.183382,206.798585
1,6,12.799205,186.5262,3.50868,202.834085
1,7,12.217241,192.4285,5.965184,210.610925
1,8,11.751026,183.9065,6.024336,201.681862
1,9,12.93264,201.7392,6.763819,221.435659
1,10,12.53177,183.4072,5.752914,201.691884
1,11,11.570579,166.2883,5.965448,183.824327
1,12,11.640287,161.5974,3.253407,176.491094
1,13,12.186767,176.6443,6.448424,195.279491
1,14,19.425789,183.8616,5.758475,209.045864
1,15,20.109669,211.2229,5.585976,236.918545
1,16,20.55855,192.1611,6.066315,218.785965
1,17,13.280567,166.5292,3.350225,183.159992
1,18,15.859639,205.4329,5.810083,227.102622
1,19,13.529258,186.3261,5.688682,205.54404
1,20,17.546233,185.936,5.811839,209.294072
1,21,16.997422,179.2655,11.056953,207.319875
1,22,20.204215,186.9697,6.27366,213.447575
1,23,20.407617,198.3309,5.713074,224.451591
1,24,20.423214,176.1006,3.397764,199.921578
1,25,13.050052,179.729,8.445551,201.224603
1,26,12.830316,205.7726,6.371182,224.974098
1,27,12.713069,175.57,5.693862,193.976931
1,28,16.602792,188.9714,5.963512,211.537704
1,29,20.526021,210.1356,6.084801,236.746422
1,30,13.07823,158.8934,3.213637,175.185267
1,31,12.929702,191.6542,5.339094,209.922996
1,32,13.339338,193.0278,5.81631,212.183448
1,33,12.990983,171.081,5.699742,189.771725
1,34,14.922055,172.0638,5.200547,192.186402
1,35,13.239286,170.8769,5.693572,189.809758
1,36,18.552628,168.1191,5.252956,191.924684
1,37,20.038773,164.4633,4.918902,189.420975
1,38,19.296228,170.9352,5.481232,195.71266
1,39,19.473023,174.5926,6.066723,200.132346
1,40,13.037543,154.782,67.744377,235.56392
1,41,12.763805,173.6917,5.600929,192.056434
1,42,12.812548,167.4624,6.436868,186.711816
1,43,13.50133,179.8233,5.513203,198.837833
1,44,15.325874,157.3223,3.311753,175.959927
1,45,13.479894,169.1903,5.960783,188.630977
1,46,13.427558,170.8895,4.151891,188.468949
1,47,13.338478,195.3948,3.439525,212.172803
1,48,13.369944,188.5806,9.443841,211.394385
1,49,13.93732,188.1515,5.368758,207.457578
