accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),cpu-freq,layer,edge-accelerator,server-accelerator
0.603,428.239975815,2.236007854890859,2.236007854890859,428.2399645,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,1200,22,max,False
0.603,428.522892817,2.241496981339669,2.241496981339669,428.52288165,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,1200,22,max,False
0.603,429.307426444,2.2452436071072697,2.2452436071072697,429.307415777,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,1200,22,max,False
0.603,429.107063378,2.245786508834708,2.245786508834708,429.107052397,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,1200,22,max,False
0.603,428.861055859,2.2440304936450004,2.2440304936450004,428.861044063,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,1200,22,max,False
0.603,430.322668182,2.256921696311855,2.256921696311855,430.322657868,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,1200,22,max,False
0.603,429.616859875,2.2531019416287066,2.2531019416287066,429.616848857,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1200,22,max,False
0.603,429.011830917,2.248431262152732,2.248431262152732,429.011819269,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,1200,22,max,False
0.608,114.594756675,68.57802501267179,0.5702735478280306,37.272213223,73.644608,3.677935452,68.00775146484375,4.495554924011231,1.7000000476837158,2.2260000705718994,35.0,98.0244140625,1400,14,std,True
0.608,118.811876901,68.78321437786448,0.5869482035480738,41.40237651,74.19267,3.216830390999988,68.1962661743164,4.5295281410217285,1.7000000476837158,2.20199990272522,35.2,98.0244140625,1400,14,std,True
0.608,115.868945938,69.98653637939904,0.5745032983443499,37.138030249,74.907464,3.823451688999995,69.41203308105469,4.572648048400879,1.7000000476837158,2.177999973297119,35.4,98.0244140625,1400,14,std,True
0.608,120.671110262,69.33520866487208,0.5958058938759923,41.394875537,74.45929,4.816944724999999,68.7394027709961,4.5467610359191895,1.7000000476837158,2.183000087738037,35.0,98.0244140625,1400,14,std,True
0.608,116.174838459,70.14246996636021,0.5749498247586489,37.286538694,75.538341,3.3499587649999967,69.56752014160156,4.612220764160156,1.7000000476837158,2.186000108718872,35.3,98.0244140625,1400,14,std,True
0.608,116.26655918,70.49551510454098,0.5760128462401987,37.53647071,75.212444,3.5176444699999934,69.91950225830078,4.592730045318604,1.7000000476837158,2.188999891281128,34.9,98.0244140625,1400,14,std,True
0.608,115.282831457,69.46513138761895,0.5707374667205215,37.226484769,74.733261,3.323085687999992,68.89439392089844,4.564492225646973,1.7000000476837158,2.2219998836517334,35.1,98.0244140625,1400,14,std,True
