Phase,Duration (ms),CPU Usage (%),Additional RAM Usage (MB)
Pareto Load & Sort,29110.099047,24.6,74.41796875
Pareto Load & Sort,28319.20366,25.2,69.66796875
Pareto Load & Sort,28241.956168,25.0,73.1640625
Configuration Retrieval,9.147659,33.3,0.0
Hardware Configuration Change,532.690301,0.0,0.0
Configuration Retrieval,4.033521,0.0,0.0
Hardware Configuration Change,120.701575,0.0,0.0
Configuration Retrieval,4.055125,50.0,0.0
Hardware Configuration Change,162.528178,0.0,0.0
Configuration Retrieval,3.970236,0.0,0.0
Hardware Configuration Change,137.549947,1.8,0.0
Configuration Retrieval,3.926281,0.0,0.0
Hardware Configuration Change,133.613807,0.0,0.0
Configuration Retrieval,3.931282,0.0,0.0
Hardware Configuration Change,136.09409,0.0,0.0
Configuration Retrieval,3.954876,0.0,0.0
Hardware Configuration Change,148.922476,1.7,0.0
Configuration Retrieval,3.938037,0.0,0.0
Hardware Configuration Change,149.920418,0.0,0.0
Configuration Retrieval,3.934711,0.0,0.0
Hardware Configuration Change,141.321006,0.0,0.0
Configuration Retrieval,4.067995,50.0,0.0
Hardware Configuration Change,135.586769,0.0,0.0
Configuration Retrieval,5.715901,50.0,0.0
Hardware Configuration Change,132.109434,0.0,0.0
Configuration Retrieval,6.905992,50.0,0.0
Hardware Configuration Change,145.777949,0.0,0.0
Configuration Retrieval,3.912576,0.0,0.0
Hardware Configuration Change,139.476678,1.8,0.0
Configuration Retrieval,6.741987,0.0,0.0
Hardware Configuration Change,143.069427,0.0,0.0
Configuration Retrieval,9.865353,25.0,0.0
Hardware Configuration Change,148.863099,3.3,0.0
Configuration Retrieval,10.740921,25.0,0.0
Hardware Configuration Change,146.848485,1.7,0.0
Configuration Retrieval,10.934878,25.0,0.0
Hardware Configuration Change,117.754665,4.2,0.0
Configuration Retrieval,5.92241,0.0,0.0
Hardware Configuration Change,138.8699,1.8,0.0
Configuration Retrieval,4.156693,50.0,0.0
Hardware Configuration Change,143.111444,0.0,0.0
Configuration Retrieval,7.066514,50.0,0.0
Hardware Configuration Change,141.655957,0.0,0.0
Configuration Retrieval,5.818294,50.0,0.0
Hardware Configuration Change,134.135869,0.0,0.0
Configuration Retrieval,3.924714,0.0,0.0
Hardware Configuration Change,138.710869,1.8,0.0
Configuration Retrieval,3.93935,0.0,0.0
Hardware Configuration Change,139.16416,0.0,0.0
Configuration Retrieval,3.966901,50.0,0.0
Hardware Configuration Change,143.861427,0.0,0.0
Configuration Retrieval,3.92784,0.0,0.0
Hardware Configuration Change,146.43171,0.0,0.0
Configuration Retrieval,3.99159,0.0,0.0
Hardware Configuration Change,154.485861,0.0,0.0
Configuration Retrieval,3.937267,0.0,0.0
Hardware Configuration Change,147.899593,1.7,0.0
Configuration Retrieval,4.019298,0.0,0.0
Hardware Configuration Change,145.362001,0.0,0.0
Configuration Retrieval,4.109661,50.0,0.0
Hardware Configuration Change,145.408102,0.0,0.0
Pareto Load & Sort,29205.835693,24.7,69.53515625
Configuration Retrieval,3.959028,0.0,0.0
Hardware Configuration Change,431.560244,0.0,-0.05078125
Configuration Retrieval,3.976473,0.0,0.0
Hardware Configuration Change,113.061142,0.0,0.0
Configuration Retrieval,5.842411,33.3,0.0
Hardware Configuration Change,96.75903,2.6,0.0
Configuration Retrieval,6.035223,0.0,0.0
Hardware Configuration Change,136.828321,0.0,0.0
Configuration Retrieval,7.040329,50.0,0.0
Hardware Configuration Change,140.927257,0.0,0.0
Configuration Retrieval,4.119979,50.0,0.0
Hardware Configuration Change,145.48251,1.7,0.0
Configuration Retrieval,7.003963,66.7,0.0
Hardware Configuration Change,141.785711,0.0,0.0
Configuration Retrieval,7.092871,33.3,0.0
Hardware Configuration Change,137.501008,1.8,0.0
Configuration Retrieval,6.081787,0.0,0.0
Hardware Configuration Change,149.134159,0.0,0.0
Configuration Retrieval,4.027634,0.0,0.0
Hardware Configuration Change,139.18997,0.0,0.0
Configuration Retrieval,4.051541,0.0,0.0
Hardware Configuration Change,151.942328,0.0,0.0
Configuration Retrieval,4.106229,0.0,0.0
Hardware Configuration Change,137.081168,1.8,0.0
Configuration Retrieval,3.984355,0.0,0.0
Hardware Configuration Change,146.793883,1.7,0.0
Configuration Retrieval,3.928469,0.0,0.0
Hardware Configuration Change,146.440658,1.7,0.0
Configuration Retrieval,4.818101,0.0,0.0
Hardware Configuration Change,149.629861,0.0,0.0
Configuration Retrieval,14.128209,20.0,0.0
Hardware Configuration Change,126.709405,0.0,0.0
Configuration Retrieval,5.84195,0.0,0.0
Hardware Configuration Change,139.780849,0.0,0.0
Configuration Retrieval,3.860709,0.0,0.0
Hardware Configuration Change,135.575559,1.9,0.0
Configuration Retrieval,6.770328,33.3,0.0
Hardware Configuration Change,144.265347,1.7,0.0
Configuration Retrieval,3.893184,50.0,0.0
Hardware Configuration Change,134.626218,0.0,0.0
Configuration Retrieval,3.838925,0.0,0.0
Hardware Configuration Change,140.691492,0.0,0.0
Configuration Retrieval,3.921481,50.0,0.0
Hardware Configuration Change,143.645586,0.0,0.0
Pareto Load & Sort,29090.887,24.6,69.09375
Configuration Retrieval,5.861272,0.0,0.0
Hardware Configuration Change,452.077749,0.0,-0.06640625
Configuration Retrieval,5.182955,0.0,0.0
Hardware Configuration Change,120.844604,0.0,0.0
Hardware Configuration Change,475.496447,0.0,-0.01171875
Hardware Configuration Change,477.493522,0.0,0.24609375
Hardware Configuration Change,148.576035,0.0,0.0
Hardware Configuration Change,123.653715,0.0,0.0
Hardware Configuration Change,118.453805,0.0,0.0
Hardware Configuration Change,111.505638,4.4,0.0
Hardware Configuration Change,124.116362,0.0,0.0
Hardware Configuration Change,125.857426,0.0,0.0
Hardware Configuration Change,111.046531,2.3,0.0
Hardware Configuration Change,128.399398,2.0,0.0
Hardware Configuration Change,124.738968,0.0,0.0
Hardware Configuration Change,143.902638,0.0,0.0
Hardware Configuration Change,113.567764,0.0,0.0
Hardware Configuration Change,135.199627,0.0,0.0
Hardware Configuration Change,121.637616,4.1,0.0
Hardware Configuration Change,123.902208,0.0,0.0
Hardware Configuration Change,118.714446,0.0,0.0
Hardware Configuration Change,111.835596,2.3,0.0
Hardware Configuration Change,107.953703,2.3,0.0
Hardware Configuration Change,124.59215,0.0,0.0
Hardware Configuration Change,105.947322,0.0,0.0
Hardware Configuration Change,124.563932,0.0,0.0
Hardware Configuration Change,136.626884,1.9,0.0
Hardware Configuration Change,128.173617,0.0,0.0
Hardware Configuration Change,127.720486,0.0,0.0
Hardware Configuration Change,117.600484,0.0,0.0
Hardware Configuration Change,125.180769,0.0,0.0
Hardware Configuration Change,132.469177,0.0,0.0
Hardware Configuration Change,102.176835,0.0,0.0
Hardware Configuration Change,104.488079,0.0,0.0
Hardware Configuration Change,112.542149,2.3,0.0
Hardware Configuration Change,136.580752,0.0,0.0
Hardware Configuration Change,120.371588,4.2,0.0
Hardware Configuration Change,391.323618,0.0,-0.01171875
Hardware Configuration Change,408.570108,0.6,0.0
Hardware Configuration Change,112.895239,0.0,0.0
Hardware Configuration Change,134.950259,0.0,0.24609375
Hardware Configuration Change,119.234736,2.1,0.0
Hardware Configuration Change,108.80105,0.0,0.0
Hardware Configuration Change,121.381077,4.2,0.0
Hardware Configuration Change,126.288958,2.0,0.0
Hardware Configuration Change,162.010454,1.6,0.0
Hardware Configuration Change,158.223936,3.1,0.0
Hardware Configuration Change,145.299539,0.0,0.0
Hardware Configuration Change,144.918758,0.0,0.0
Hardware Configuration Change,173.105371,2.9,0.0
Hardware Configuration Change,166.842916,12.3,0.0
Hardware Configuration Change,141.066641,1.8,0.0
Hardware Configuration Change,168.941131,3.0,0.0
Hardware Configuration Change,140.580071,1.8,-0.00390625
Hardware Configuration Change,132.289656,1.9,0.0
Hardware Configuration Change,121.695978,4.1,0.0
Hardware Configuration Change,120.812776,4.2,0.0
Hardware Configuration Change,124.848753,0.0,0.0
Hardware Configuration Change,109.180324,4.5,0.0

