accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.605,94.045685329,66.86576654224883,0.4223537614871144,9.135056833,73.799887,11.110741495999989,66.44341278076172,4.767790794372559,1.7000000476837158,4.526999950408936,84.2,588.025390625,0,94.7906709776648,cloud,1800,0,off,True
0.605,96.290614144,67.63268165558156,0.4008014675932765,10.72731782,74.703337,10.859959323999988,67.23188018798828,4.819263935089111,1.7000000476837158,4.500999927520752,93.8,588.025390625,0,94.7906709776648,latency,1200,0,off,True
0.605,95.300056673,67.01848585577604,0.3954542395650983,10.815018865,73.977872,10.507165807999982,66.62303161621094,4.777544975280762,1.7000000476837158,4.539999961853027,93.6,588.025390625,0,94.7906709776648,splinter:latency,1200,0,off,True
0.603,436.007522162,2.920772029774225,2.920772029774225,436.007513199,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0,94.7906709776648,edge,1800,22,max,False
0.603,443.560717463,2.9531821117586734,2.9531821117586734,443.560706278,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0,94.7906709776648,energy,800,22,std,False
0.605,105.256892875,67.26786565859801,0.5010962494183183,20.914033413,73.570521,10.772338462000008,66.76676940917969,4.74495792388916,1.7000000476837158,4.539999961853027,86.9,588.025390625,1,4286.694420455027,cloud,1800,0,off,True
0.603,434.058237316,2.9518474832070822,2.9518474832070822,434.058227945,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,1,4286.694420455027,edge,1800,22,max,False
0.603,438.019788289,2.604209135391605,2.604209135391605,438.019778086,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1,4286.694420455027,energy,800,22,std,False
0.605,93.835480307,66.14655846728041,0.3021370805616617,10.706089174,72.912861,10.216530132999992,65.84442138671875,4.707767963409424,1.7000000476837158,4.572000026702881,95.3,588.025390625,1,4286.694420455027,latency,1200,0,off,True
0.603,442.874997692,2.2264475264917136,2.2264475264917136,442.874980859,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,1,4286.694420455027,splinter:latency,800,22,std,False
0.605,93.751817471,67.35520870996125,0.3312142641604662,9.416052864,73.962725,10.373039606999995,67.02399444580078,4.767580986022949,1.7000000476837158,4.552000045776367,81.3,588.025390625,2,1532.6243226141037,cloud,1800,0,off,True
0.603,434.298501682,2.406616871244776,2.406616871244776,434.298491645,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,2,1532.6243226141037,energy,800,22,std,False
0.605,94.850696503,67.1743631439844,0.3036432343164205,10.732287561,73.862604,10.255804941999996,66.87071990966797,4.737542152404785,1.7000000476837158,4.546000003814697,94.1,588.025390625,2,1532.6243226141037,latency,1200,0,off,True
0.603,442.385093132,2.22193290909009,2.22193290909009,442.3850798360001,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,2,1532.6243226141037,splinter:latency,800,22,std,False
0.605,96.117093376,67.24783671117375,0.3392215988690615,10.542495282,74.306502,11.268096094,66.90861511230469,4.788536071777344,1.7000000476837158,4.527999877929688,81.6,588.025390625,3,2738.347089400668,cloud,1800,0,off,True
0.605,96.691392732,67.54083993525299,0.4196851500967383,10.723268922,74.637925,11.33019881,67.12115478515625,4.815327167510986,1.7000000476837158,4.51200008392334,95.3,588.025390625,3,2738.347089400668,latency,1200,0,off,True
0.603,443.554665246,2.225228493989134,2.225228493989134,443.554651931,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,3,2738.347089400668,splinter:latency,800,22,std,False
0.605,95.553873363,67.26346399026473,0.3361110849912881,10.114416447,74.502766,10.936690916000018,66.92735290527344,4.801608085632324,1.7000000476837158,4.51800012588501,75.3,588.025390625,4,641.439097226919,cloud,1800,0,off,True
0.603,425.774415018,2.411087918724776,2.411087918724776,425.774403426,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4,641.439097226919,edge,1800,22,max,False
0.603,433.437489654,2.404242261145258,2.404242261145258,433.437479877,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,4,641.439097226919,energy,800,22,std,False
0.605,118.204150184,67.22412758826492,0.373595056526637,10.68564338,74.109271,33.40923580399999,66.85053253173828,4.775056838989258,1.7000000476837158,4.53000020980835,94.6,588.025390625,4,641.439097226919,latency,1200,0,off,True
