accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.699,133.558466295,92.41488552998968,0.4084081740326643,20.797591804,101.390802,11.370072490999988,92.00647735595705,6.8118391036987305,1.7000000476837158,10.517999649047852,39.0,588.025390625,0,3527.2731853778355,cloud,1800,0,off,True
0.699,3920.604364565,18.429247210164608,18.429247210164608,3920.604355214,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0,3527.2731853778355,edge,1800,19,off,False
0.699,4389.100825075,81.72010808267136,18.62712865151901,4308.991191352,70.183806,9.925827723000111,63.09297943115234,4.192638874053955,1.7000000476837158,0.0,25.1,591.021484375,0,3527.2731853778355,energy,1600,16,off,True
0.699,115.834311247,89.46496094091775,0.3673733554685354,8.289238967,97.251392,10.29368027999999,89.09758758544922,6.657328128814697,1.7000000476837158,11.128999710083008,86.3,588.025390625,0,3527.2731853778355,latency,1400,0,off,True
0.699,3292.5445313060004,85.51364764266415,12.342177000574305,3201.422681409,80.598549,10.523300897000624,73.17147064208984,5.154575824737549,1.7999999523162842,6.164999961853027,25.2,591.021484375,0,3527.2731853778355,splinter:latency,1200,11,off,True
0.699,118.515143482,90.3822320098304,0.4049370879553914,10.520293118,97.903869,10.090981364,89.977294921875,6.699307918548584,1.7000000476837158,11.031999588012695,79.3,588.025390625,1,223.8555855227588,cloud,1800,0,off,True
0.699,3919.886247604,18.42002385864557,18.42002385864557,3919.88623853,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1,223.8555855227588,edge,1800,19,off,False
0.699,4381.643740402001,81.30590756015441,18.58763058261535,4301.5454150430005,69.853104,10.245221359000226,62.71827697753906,4.146371841430664,1.7000000476837158,0.0,25.1,591.021484375,1,223.8555855227588,energy,1600,16,off,True
0.699,115.368152401,88.18340367454955,0.3648383058972119,8.366891735000001,96.364257,10.637003665999998,87.81856536865234,6.591385841369629,1.7999999523162842,11.184000015258787,85.7,588.025390625,1,223.8555855227588,latency,1400,0,off,True
0.699,149.586709234,89.86770777490653,0.4842696645549655,42.612426064000005,97.734447,9.239836170000004,89.38343811035156,6.676736831665039,1.7999999523162842,11.026000022888184,38.4,591.021484375,1,223.8555855227588,splinter:latency,1200,4,off,True
