layer,img,client,server,network,total
0,0,9.917431,627.269,28.488339,665.67477
0,1,1.940275,363.7266,17.249549,382.916424
0,2,2.002275,349.6001,8.39322,359.995595
0,3,1.945849,379.5779,12.900477,394.424226
0,4,1.595761,354.0749,8.217059,363.88772
0,5,1.811555,328.9214,8.525806,339.258761
0,6,2.082774,332.8599,12.233187,347.175861
0,7,1.973442,331.9499,8.360461,342.283803
0,8,2.056682,330.2504,9.337265,341.644347
0,9,3.144522,339.0525,12.168614,354.365636
0,10,3.201132,353.0824,12.144342,368.427874
0,11,3.458223,346.3544,12.377652,362.190275
0,12,3.448352,334.3881,11.660181,349.496633
0,13,3.1398,331.8258,11.559879,346.525479
0,14,3.161929,337.4228,12.823195,353.407924
0,15,2.906654,335.6562,11.611346,350.1742
0,16,3.48487,363.4267,11.181702,378.093272
0,17,3.020467,369.9741,12.154666,385.149233
0,18,2.915877,399.8002,13.317216,416.033293
0,19,3.073893,372.3246,12.1149,387.513393
0,20,3.333483,337.9255,11.43832,352.697303
0,21,2.836821,344.1918,12.799846,359.828467
0,22,3.356076,346.2233,11.250581,360.829957
0,23,2.870414,340.872,11.926986,355.6694
0,24,2.951209,367.9536,11.314436,382.219245
0,25,3.187466,348.3363,11.286632,362.810398
0,26,2.790655,440.2216,11.896695,454.90895
0,27,2.762378,532.5843,12.184059,547.530737
0,28,2.925709,935.4799,12.179947,950.585556
0,29,3.154077,587.8713,12.710777,603.736154
0,30,3.005931,357.6698,53.10477,413.780501
0,31,2.828655,373.8496,11.688314,388.366569
0,32,2.907117,352.3533,11.723547,366.983964
0,33,3.116874,358.426,11.179214,372.722088
0,34,2.647527,354.6658,11.133029,368.446356
0,35,3.293891,351.5493,11.632612,366.475803
0,36,3.203373,372.5443,11.101708,386.849381
0,37,3.048356,390.0404,11.191143,404.279899
0,38,2.888377,345.3492,11.724259,359.961836
0,39,3.566092,341.992,11.387924,356.946016
0,40,2.960783,367.9205,11.328981,382.210264
0,41,3.316594,343.4453,11.498886,358.26078
0,42,4.018902,372.0458,11.368433,387.433135
0,43,2.959598,349.5464,50.718578,403.224576
0,44,2.987024,351.5937,11.877023,366.457747
0,45,3.281595,366.6759,11.275873,381.233368
0,46,2.788729,374.0963,11.83135,388.716379
0,47,2.86434,347.9428,11.582928,362.390068
0,48,3.621628,354.5277,11.531273,369.680601
0,49,3.225058,346.7222,11.0029,360.950158
0,50,3.15154,361.7558,11.634262,376.541602
0,51,2.996819,354.2584,11.292542,368.547761
0,52,3.179596,437.5871,11.158601,451.925297
0,53,3.350297,354.9048,11.848592,370.103689
0,54,3.123022,360.2329,10.996945,374.352867
0,55,2.992487,366.8304,11.234038,381.056925
0,56,3.098041,365.1756,11.151338,379.424979
0,57,3.342816,377.8162,11.615709,392.774725
0,58,3.153262,360.3053,11.174393,374.632955
0,59,3.088004,358.896,11.797609,373.781613
0,60,2.833766,385.8768,11.712003,400.422569
0,61,3.082856,373.3331,12.560828,388.976784
0,62,2.934747,351.7334,11.101608,365.769755
0,63,3.437629,378.459,12.022861,393.91949
0,64,3.29915,358.2643,11.346636,372.910086
0,65,3.149577,370.0652,11.276277,384.491054
0,66,3.434889,357.4614,13.223209,374.119498
0,67,3.190373,365.8728,11.465052,380.528225
0,68,3.430482,361.6954,10.821467,375.947349
0,69,2.18007,370.8042,8.237283,381.221553
0,70,2.033053,384.2023,8.471296,394.706649
0,71,2.081848,363.8401,8.299049,374.220997
0,72,1.913072,376.7742,8.319052,387.006324
0,73,2.191273,359.0501,8.491265,369.732638
0,74,2.180014,376.133,8.290648,386.603662
0,75,1.854962,350.6276,8.379078,360.86164
0,76,1.959757,361.0719,8.290853,371.32251
0,77,1.939794,385.3444,8.089448,395.373642
0,78,1.746,367.557,8.235036,377.538036
0,79,2.050404,358.158,9.082091,369.290495
0,80,2.337846,373.5214,8.172295,384.031541
0,81,1.793203,353.5556,8.601544,363.950347
0,82,3.082152,379.9806,11.789265,394.852017
0,83,2.740674,356.0338,12.270205,371.044679
0,84,2.863932,418.23,11.471848,432.56578
0,85,3.211262,402.6354,11.994831,417.841493
0,86,3.112671,382.9128,11.736775,397.762246
0,87,3.028394,383.3769,11.942223,398.347517
0,88,3.127633,443.4914,11.302661,457.921694
0,89,3.355371,435.0523,12.036084,450.443755
0,90,3.032486,396.6781,11.859289,411.569875
0,91,3.242169,383.1394,11.45612,397.837689
0,92,3.241539,357.8173,11.280141,372.33898
0,93,3.491296,365.1496,11.416538,380.057434
0,94,3.5185,380.145,11.613587,395.277087
0,95,3.199577,362.0944,11.849415,377.143392
0,96,3.107245,361.997,11.554208,376.658453
