layer,img,client,server,network,total
0,0,10.650248,612.4988,20.118547,643.267595
0,1,2.557345,316.932,8.807868,328.297213
0,2,2.387791,335.774,8.654703,346.816494
0,3,2.246849,312.8579,9.630388,324.735137
0,4,2.559956,315.3252,8.052117,325.937273
0,5,2.64477,317.5697,7.936318,328.150788
0,6,2.649326,325.6648,7.87201,336.186136
0,7,2.22246,320.1382,7.931996,330.292656
0,8,2.591234,321.1449,7.786936,331.52307
0,9,2.234534,329.6005,8.196565,340.031599
0,10,3.611668,330.0391,10.881804,344.532572
0,11,4.027868,320.3572,11.259758,335.644826
0,12,3.92548,355.3661,11.088776,370.380356
0,13,4.069701,343.1067,11.339183,358.515584
0,14,3.779759,321.6957,11.129802,336.605261
0,15,3.963868,321.8398,10.800389,336.604057
0,16,3.107711,333.0396,12.240557,348.387868
0,17,3.648816,319.9715,11.080166,334.700482
0,18,4.319698,333.8437,11.14559,349.308988
0,19,3.43817,327.4151,10.750405,341.603675
0,20,3.660501,326.9337,10.770605,341.364806
0,21,3.413392,331.7489,11.639516,346.801808
0,22,4.699362,347.6881,10.920038,363.3075
0,23,3.856296,340.5014,10.514219,354.871915
0,24,3.714112,336.6063,11.3907,351.711112
0,25,3.493707,322.8061,11.219481,337.519288
0,26,3.955091,340.921,10.784149,355.66024
0,27,3.639168,377.6929,11.050275,392.382343
0,28,3.981961,396.3156,10.967615,411.265176
0,29,3.155469,353.4256,11.244255,367.825324
0,30,3.497169,322.3302,10.696168,336.523537
0,31,4.367902,332.3174,11.338254,348.023556
0,32,3.430059,342.1855,10.689099,356.304658
0,33,3.65402,329.2964,10.466125,343.416545
0,34,3.685834,322.4459,11.064185,337.195919
0,35,3.767,341.9626,10.878907,356.608507
0,36,3.334023,356.9864,10.745054,371.065477
0,37,5.042099,342.1461,11.225346,358.413545
0,38,3.598409,341.4355,11.847911,356.88182
0,39,3.532725,339.2628,10.626421,353.421946
0,40,3.555595,332.7962,11.089099,347.440894
0,41,3.935906,327.8476,12.007552,343.791058
0,42,3.424522,329.5104,10.475918,343.41084
0,43,3.89635,343.1354,10.813836,357.845586
0,44,3.704334,341.4267,10.474279,355.605313
0,45,3.924072,330.744,10.936282,345.604354
0,46,3.532725,356.8539,10.832461,371.219086
0,47,3.714871,348.0248,11.12657,362.866241
0,48,4.079867,334.3927,10.780678,349.253245
0,49,3.446892,331.6588,11.213618,346.31931
0,50,3.971332,360.7046,10.884797,375.560729
0,51,3.459484,344.8949,10.713634,359.068018
0,52,3.288894,326.3211,9.953365,339.563359
0,53,4.814693,334.1592,11.864335,350.838228
0,54,3.462188,345.9516,12.368408,361.782196
0,55,4.223514,340.5749,12.178199,356.976613
0,56,3.748149,368.8645,11.729196,384.341845
0,57,3.924739,398.0232,12.569351,414.51729
0,58,3.64539,372.7328,12.080078,388.458268
0,59,3.322468,349.5851,12.147004,365.054572
0,60,3.453615,341.0197,11.693732,356.167047
